VariantID,ProductID,SKU,ColorName,SizeCode,SizeOrder,ListPrice
V00183,P0008,P0008-ST-8,Storm Blue,8,3,135.95
V00184,P0008,P0008-ST-85,Storm Blue,8.5,4,135.95
V00185,P0008,P0008-ST-9,Storm Blue,9,5,135.95
V00186,P0008,P0008-ST-95,Storm Blue,9.5,6,135.95
V00187,P0008,P0008-ST-10,Storm Blue,10,7,135.95
V00188,P0008,P0008-ST-105,Storm Blue,10.5,8,135.95
V00189,P0008,P0008-ST-11,Storm Blue,11,9,135.95
V00190,P0008,P0008-ST-115,Storm Blue,11.5,10,135.95
V00191,P0008,P0008-ST-12,Storm Blue,12,11,135.95
V00192,P0008,P0008-ST-13,Storm Blue,13,12,135.95
V00193,P0009,P0009-BA-7,Basalt,7,1,119.95
V00194,P0009,P0009-BA-75,Basalt,7.5,2,119.95
V00195,P0009,P0009-BA-8,Basalt,8,3,119.95
V00196,P0009,P0009-BA-85,Basalt,8.5,4,119.95
V00197,P0009,P0009-BA-9,Basalt,9,5,119.95
V00198,P0009,P0009-BA-95,Basalt,9.5,6,119.95
V00199,P0009,P0009-BA-10,Basalt,10,7,119.95
V00200,P0009,P0009-BA-105,Basalt,10.5,8,119.95
V00201,P0009,P0009-BA-11,Basalt,11,9,119.95
V00202,P0009,P0009-BA-115,Basalt,11.5,10,119.95
V00203,P0009,P0009-BA-12,Basalt,12,11,119.95
V00204,P0009,P0009-BA-13,Basalt,13,12,119.95
V00205,P0009,P0009-SL-7,Slate,7,1,119.95
V00206,P0009,P0009-SL-75,Slate,7.5,2,119.95
V00207,P0009,P0009-SL-8,Slate,8,3,119.95
V00208,P0009,P0009-SL-85,Slate,8.5,4,119.95
V00209,P0009,P0009-SL-9,Slate,9,5,119.95
V00210,P0009,P0009-SL-95,Slate,9.5,6,119.95
V00211,P0009,P0009-SL-10,Slate,10,7,119.95
V00212,P0009,P0009-SL-105,Slate,10.5,8,119.95
V00213,P0009,P0009-SL-11,Slate,11,9,119.95
V00214,P0009,P0009-SL-115,Slate,11.5,10,119.95
V00215,P0009,P0009-SL-12,Slate,12,11,119.95
V00216,P0009,P0009-SL-13,Slate,13,12,119.95
V00217,P0010,P0010-ST-7,Storm Blue,7,1,108.95
V00218,P0010,P0010-ST-75,Storm Blue,7.5,2,108.95
V00219,P0010,P0010-ST-8,Storm Blue,8,3,108.95
V00220,P0010,P0010-ST-85,Storm Blue,8.5,4,108.95
V00221,P0010,P0010-ST-9,Storm Blue,9,5,108.95
V00222,P0010,P0010-ST-95,Storm Blue,9.5,6,108.95
V00223,P0010,P0010-ST-10,Storm Blue,10,7,108.95
V00224,P0010,P0010-ST-105,Storm Blue,10.5,8,108.95
V00225,P0010,P0010-ST-11,Storm Blue,11,9,108.95
V00226,P0010,P0010-ST-115,Storm Blue,11.5,10,108.95
V00227,P0010,P0010-ST-12,Storm Blue,12,11,108.95
V00228,P0010,P0010-ST-13,Storm Blue,13,12,108.95
V00229,P0010,P0010-DU-7,Dune,7,1,108.95
V00230,P0010,P0010-DU-75,Dune,7.5,2,108.95
V00231,P0010,P0010-DU-8,Dune,8,3,108.95
V00232,P0010,P0010-DU-85,Dune,8.5,4,108.95
V00233,P0010,P0010-DU-9,Dune,9,5,108.95
V00234,P0010,P0010-DU-95,Dune,9.5,6,108.95
V00235,P0010,P0010-DU-10,Dune,10,7,108.95
V00236,P0010,P0010-DU-105,Dune,10.5,8,108.95
V00237,P0010,P0010-DU-11,Dune,11,9,108.95
V00238,P0010,P0010-DU-115,Dune,11.5,10,108.95
V00239,P0010,P0010-DU-12,Dune,12,11,108.95
V00240,P0010,P0010-DU-13,Dune,13,12,108.95
V00241,P0011,P0011-CL-7,Clay,7,1,157.95
V00242,P0011,P0011-CL-75,Clay,7.5,2,157.95
V00243,P0011,P0011-CL-8,Clay,8,3,157.95
V00244,P0011,P0011-CL-85,Clay,8.5,4,157.95
V00245,P0011,P0011-CL-9,Clay,9,5,157.95
V00246,P0011,P0011-CL-95,Clay,9.5,6,157.95
V00247,P0011,P0011-CL-10,Clay,10,7,157.95
V00248,P0011,P0011-CL-105,Clay,10.5,8,157.95
V00249,P0011,P0011-CL-11,Clay,11,9,157.95
V00250,P0011,P0011-CL-115,Clay,11.5,10,157.95
V00251,P0011,P0011-CL-12,Clay,12,11,157.95
V00252,P0011,P0011-CL-13,Clay,13,12,157.95
V00253,P0011,P0011-MO-7,Moss,7,1,157.95
V00254,P0011,P0011-MO-75,Moss,7.5,2,157.95
V00255,P0011,P0011-MO-8,Moss,8,3,157.95
V00256,P0011,P0011-MO-85,Moss,8.5,4,157.95
V00257,P0011,P0011-MO-9,Moss,9,5,157.95
V00258,P0011,P0011-MO-95,Moss,9.5,6,157.95
V00259,P0011,P0011-MO-10,Moss,10,7,157.95
V00260,P0011,P0011-MO-105,Moss,10.5,8,157.95
V00261,P0011,P0011-MO-11,Moss,11,9,157.95
V00262,P0011,P0011-MO-115,Moss,11.5,10,157.95
V00263,P0011,P0011-MO-12,Moss,12,11,157.95
V00264,P0011,P0011-MO-13,Moss,13,12,157.95
V00265,P0012,P0012-SL-7,Slate,7,1,116.95
V00266,P0012,P0012-SL-75,Slate,7.5,2,116.95
V00267,P0012,P0012-SL-8,Slate,8,3,116.95
V00268,P0012,P0012-SL-85,Slate,8.5,4,116.95
V00269,P0012,P0012-SL-9,Slate,9,5,116.95
V00270,P0012,P0012-SL-95,Slate,9.5,6,116.95
V00271,P0012,P0012-SL-10,Slate,10,7,116.95
V00272,P0012,P0012-SL-105,Slate,10.5,8,116.95
V00273,P0012,P0012-SL-11,Slate,11,9,116.95
V00274,P0012,P0012-SL-115,Slate,11.5,10,116.95
V00275,P0012,P0012-SL-12,Slate,12,11,116.95
V00276,P0012,P0012-SL-13,Slate,13,12,116.95
V00277,P0012,P0012-BO-7,Bone,7,1,116.95
V00278,P0012,P0012-BO-75,Bone,7.5,2,116.95
V00279,P0012,P0012-BO-8,Bone,8,3,116.95
V00280,P0012,P0012-BO-85,Bone,8.5,4,116.95
V00281,P0012,P0012-BO-9,Bone,9,5,116.95
V00282,P0012,P0012-BO-95,Bone,9.5,6,116.95
V00283,P0012,P0012-BO-10,Bone,10,7,116.95
V00284,P0012,P0012-BO-105,Bone,10.5,8,116.95
V00285,P0012,P0012-BO-11,Bone,11,9,116.95
V00286,P0012,P0012-BO-115,Bone,11.5,10,116.95
V00287,P0012,P0012-BO-12,Bone,12,11,116.95
V00288,P0012,P0012-BO-13,Bone,13,12,116.95
V00289,P0013,P0013-CL-7,Clay,7,1,175.95
V00290,P0013,P0013-CL-75,Clay,7.5,2,175.95
V00291,P0013,P0013-CL-8,Clay,8,3,175.95
V00292,P0013,P0013-CL-85,Clay,8.5,4,175.95
V00293,P0013,P0013-CL-9,Clay,9,5,175.95
V00294,P0013,P0013-CL-95,Clay,9.5,6,175.95
V00295,P0013,P0013-CL-10,Clay,10,7,175.95
V00296,P0013,P0013-CL-105,Clay,10.5,8,175.95
V00297,P0013,P0013-CL-11,Clay,11,9,175.95
V00298,P0013,P0013-CL-115,Clay,11.5,10,175.95
V00299,P0013,P0013-CL-12,Clay,12,11,175.95
V00300,P0013,P0013-CL-13,Clay,13,12,175.95
V00301,P0013,P0013-SL-7,Slate,7,1,175.95
V00302,P0013,P0013-SL-75,Slate,7.5,2,175.95
V00303,P0013,P0013-SL-8,Slate,8,3,175.95
V00304,P0013,P0013-SL-85,Slate,8.5,4,175.95
V00305,P0013,P0013-SL-9,Slate,9,5,175.95
V00306,P0013,P0013-SL-95,Slate,9.5,6,175.95
V00307,P0013,P0013-SL-10,Slate,10,7,175.95
V00308,P0013,P0013-SL-105,Slate,10.5,8,175.95
V00309,P0013,P0013-SL-11,Slate,11,9,175.95
V00310,P0013,P0013-SL-115,Slate,11.5,10,175.95
V00311,P0013,P0013-SL-12,Slate,12,11,175.95
V00312,P0013,P0013-SL-13,Slate,13,12,175.95
V00313,P0014,P0014-BO-7,Bone,7,1,189.95
V00314,P0014,P0014-BO-75,Bone,7.5,2,189.95
V00315,P0014,P0014-BO-8,Bone,8,3,189.95
V00316,P0014,P0014-BO-85,Bone,8.5,4,189.95
V00317,P0014,P0014-BO-9,Bone,9,5,189.95
V00318,P0014,P0014-BO-95,Bone,9.5,6,189.95
V00319,P0014,P0014-BO-10,Bone,10,7,189.95
V00320,P0014,P0014-BO-105,Bone,10.5,8,189.95
V00321,P0014,P0014-BO-11,Bone,11,9,189.95
V00322,P0014,P0014-BO-115,Bone,11.5,10,189.95
V00323,P0014,P0014-BO-12,Bone,12,11,189.95
V00324,P0014,P0014-BO-13,Bone,13,12,189.95
V00325,P0014,P0014-EM-7,Ember,7,1,189.95
V00326,P0014,P0014-EM-75,Ember,7.5,2,189.95
V00327,P0014,P0014-EM-8,Ember,8,3,189.95
V00328,P0014,P0014-EM-85,Ember,8.5,4,189.95
V00329,P0014,P0014-EM-9,Ember,9,5,189.95
V00330,P0014,P0014-EM-95,Ember,9.5,6,189.95
V00331,P0014,P0014-EM-10,Ember,10,7,189.95
V00332,P0014,P0014-EM-105,Ember,10.5,8,189.95
V00333,P0014,P0014-EM-11,Ember,11,9,189.95
V00334,P0014,P0014-EM-115,Ember,11.5,10,189.95
V00335,P0014,P0014-EM-12,Ember,12,11,189.95
V00336,P0014,P0014-EM-13,Ember,13,12,189.95
V00337,P0015,P0015-MO-7,Moss,7,1,219.95
V00338,P0015,P0015-MO-75,Moss,7.5,2,219.95
V00339,P0015,P0015-MO-8,Moss,8,3,219.95
V00340,P0015,P0015-MO-85,Moss,8.5,4,219.95
V00341,P0015,P0015-MO-9,Moss,9,5,219.95
V00342,P0015,P0015-MO-95,Moss,9.5,6,219.95
V00343,P0015,P0015-MO-10,Moss,10,7,219.95
V00344,P0015,P0015-MO-105,Moss,10.5,8,219.95
V00345,P0015,P0015-MO-11,Moss,11,9,219.95
V00346,P0015,P0015-MO-115,Moss,11.5,10,219.95
V00347,P0015,P0015-MO-12,Moss,12,11,219.95
V00348,P0015,P0015-MO-13,Moss,13,12,219.95
V00349,P0015,P0015-CL-7,Clay,7,1,219.95
V00350,P0015,P0015-CL-75,Clay,7.5,2,219.95
V00351,P0015,P0015-CL-8,Clay,8,3,219.95
V00352,P0015,P0015-CL-85,Clay,8.5,4,219.95
V00353,P0015,P0015-CL-9,Clay,9,5,219.95
V00354,P0015,P0015-CL-95,Clay,9.5,6,219.95
V00355,P0015,P0015-CL-10,Clay,10,7,219.95
V00356,P0015,P0015-CL-105,Clay,10.5,8,219.95
V00357,P0015,P0015-CL-11,Clay,11,9,219.95
V00358,P0015,P0015-CL-115,Clay,11.5,10,219.95
V00359,P0015,P0015-CL-12,Clay,12,11,219.95
V00360,P0015,P0015-CL-13,Clay,13,12,219.95
V00361,P0016,P0016-ST-7,Storm Blue,7,1,218.95
V00362,P0016,P0016-ST-75,Storm Blue,7.5,2,218.95
V00363,P0016,P0016-ST-8,Storm Blue,8,3,218.95
V00364,P0016,P0016-ST-85,Storm Blue,8.5,4,218.95
V00365,P0016,P0016-ST-9,Storm Blue,9,5,218.95
V00366,P0016,P0016-ST-95,Storm Blue,9.5,6,218.95
V00367,P0016,P0016-ST-10,Storm Blue,10,7,218.95
V00368,P0016,P0016-ST-105,Storm Blue,10.5,8,218.95
V00369,P0016,P0016-ST-11,Storm Blue,11,9,218.95
V00370,P0016,P0016-ST-115,Storm Blue,11.5,10,218.95
V00371,P0016,P0016-ST-12,Storm Blue,12,11,218.95
V00372,P0016,P0016-ST-13,Storm Blue,13,12,218.95
V00373,P0016,P0016-BA-7,Basalt,7,1,218.95
V00374,P0016,P0016-BA-75,Basalt,7.5,2,218.95
V00375,P0016,P0016-BA-8,Basalt,8,3,218.95
V00376,P0016,P0016-BA-85,Basalt,8.5,4,218.95
V00377,P0016,P0016-BA-9,Basalt,9,5,218.95
V00378,P0016,P0016-BA-95,Basalt,9.5,6,218.95
V00379,P0016,P0016-BA-10,Basalt,10,7,218.95
V00380,P0016,P0016-BA-105,Basalt,10.5,8,218.95
V00381,P0016,P0016-BA-11,Basalt,11,9,218.95
V00382,P0016,P0016-BA-115,Basalt,11.5,10,218.95
V00383,P0016,P0016-BA-12,Basalt,12,11,218.95
V00384,P0016,P0016-BA-13,Basalt,13,12,218.95
V00385,P0017,P0017-ST-XS,Storm Blue,XS,1,159.95
V00386,P0017,P0017-ST-S,Storm Blue,S,2,159.95
V00387,P0017,P0017-ST-M,Storm Blue,M,3,159.95
V00388,P0017,P0017-ST-L,Storm Blue,L,4,159.95
V00389,P0017,P0017-ST-XL,Storm Blue,XL,5,159.95
V00390,P0017,P0017-ST-XXL,Storm Blue,XXL,6,159.95
V00391,P0017,P0017-SL-XS,Slate,XS,1,159.95
V00392,P0017,P0017-SL-S,Slate,S,2,159.95
V00393,P0017,P0017-SL-M,Slate,M,3,159.95
V00394,P0017,P0017-SL-L,Slate,L,4,159.95
V00395,P0017,P0017-SL-XL,Slate,XL,5,159.95
V00396,P0017,P0017-SL-XXL,Slate,XXL,6,159.95
V00397,P0017,P0017-BO-XS,Bone,XS,1,159.95
V00398,P0017,P0017-BO-S,Bone,S,2,159.95
V00399,P0017,P0017-BO-M,Bone,M,3,159.95
V00400,P0017,P0017-BO-L,Bone,L,4,159.95
V00401,P0017,P0017-BO-XL,Bone,XL,5,159.95
V00402,P0017,P0017-BO-XXL,Bone,XXL,6,159.95
V00403,P0018,P0018-SL-XS,Slate,XS,1,180.95
V00404,P0018,P0018-SL-S,Slate,S,2,180.95
V00405,P0018,P0018-SL-M,Slate,M,3,180.95
V00406,P0018,P0018-SL-L,Slate,L,4,180.95
V00407,P0018,P0018-SL-XL,Slate,XL,5,180.95
V00408,P0018,P0018-SL-XXL,Slate,XXL,6,180.95
V00409,P0018,P0018-DU-XS,Dune,XS,1,180.95
V00410,P0018,P0018-DU-S,Dune,S,2,180.95
V00411,P0018,P0018-DU-M,Dune,M,3,180.95
V00412,P0018,P0018-DU-L,Dune,L,4,180.95
V00413,P0018,P0018-DU-XL,Dune,XL,5,180.95
V00414,P0018,P0018-DU-XXL,Dune,XXL,6,180.95
V00415,P0018,P0018-MO-XS,Moss,XS,1,180.95
V00416,P0018,P0018-MO-S,Moss,S,2,180.95
V00417,P0018,P0018-MO-M,Moss,M,3,180.95
V00418,P0018,P0018-MO-L,Moss,L,4,180.95
V00419,P0018,P0018-MO-XL,Moss,XL,5,180.95
V00420,P0018,P0018-MO-XXL,Moss,XXL,6,180.95
V00421,P0019,P0019-DU-XS,Dune,XS,1,250.95
V00422,P0019,P0019-DU-S,Dune,S,2,250.95
V00423,P0019,P0019-DU-M,Dune,M,3,250.95
V00424,P0019,P0019-DU-L,Dune,L,4,250.95
V00425,P0019,P0019-DU-XL,Dune,XL,5,250.95
V00426,P0019,P0019-DU-XXL,Dune,XXL,6,250.95
V00427,P0019,P0019-EM-XS,Ember,XS,1,250.95
V00428,P0019,P0019-EM-S,Ember,S,2,250.95
V00429,P0019,P0019-EM-M,Ember,M,3,250.95
V00430,P0019,P0019-EM-L,Ember,L,4,250.95
V00431,P0019,P0019-EM-XL,Ember,XL,5,250.95
V00432,P0019,P0019-EM-XXL,Ember,XXL,6,250.95
V00433,P0019,P0019-BO-XS,Bone,XS,1,250.95
V00434,P0019,P0019-BO-S,Bone,S,2,250.95
V00435,P0019,P0019-BO-M,Bone,M,3,250.95
V00436,P0019,P0019-BO-L,Bone,L,4,250.95
V00437,P0019,P0019-BO-XL,Bone,XL,5,250.95
V00438,P0019,P0019-BO-XXL,Bone,XXL,6,250.95
V00439,P0020,P0020-SL-XS,Slate,XS,1,425.95
V00440,P0020,P0020-SL-S,Slate,S,2,425.95
V00441,P0020,P0020-SL-M,Slate,M,3,425.95
V00442,P0020,P0020-SL-L,Slate,L,4,425.95
V00443,P0020,P0020-SL-XL,Slate,XL,5,425.95
V00444,P0020,P0020-SL-XXL,Slate,XXL,6,425.95
V00445,P0020,P0020-CL-XS,Clay,XS,1,425.95
V00446,P0020,P0020-CL-S,Clay,S,2,425.95
V00447,P0020,P0020-CL-M,Clay,M,3,425.95
V00448,P0020,P0020-CL-L,Clay,L,4,425.95
V00449,P0020,P0020-CL-XL,Clay,XL,5,425.95
V00450,P0020,P0020-CL-XXL,Clay,XXL,6,425.95
V00451,P0020,P0020-BO-XS,Bone,XS,1,425.95
V00452,P0020,P0020-BO-S,Bone,S,2,425.95
V00453,P0020,P0020-BO-M,Bone,M,3,425.95
V00454,P0020,P0020-BO-L,Bone,L,4,425.95
V00455,P0020,P0020-BO-XL,Bone,XL,5,425.95
V00456,P0020,P0020-BO-XXL,Bone,XXL,6,425.95
