PurchaseOrderLineID,PurchaseOrderID,VariantID,ProductID,QuantityOrdered,QuantityReceived,POUnitCost,POLineCost
PO000028-3,PO000028,V00345,P0015,1,1,96.98,96.98
PO000028-4,PO000028,V00356,P0015,1,1,96.98,96.98
PO000028-5,PO000028,V00602,P0029,1,1,68.37,68.37
PO000028-6,PO000028,V00610,P0029,1,1,68.37,68.37
PO000028-7,PO000028,V00711,P0036,4,4,71.07,284.28
PO000028-8,PO000028,V00739,P0050,1,1,106.64,106.64
PO000028-9,PO000028,V00740,P0050,2,2,106.64,213.28
PO000029-1,PO000029,V00014,P0001,1,1,128.94,128.94
PO000029-2,PO000029,V00020,P0001,1,1,128.94,128.94
PO000029-3,PO000029,V00171,P0008,2,2,66.10,132.20
PO000029-4,PO000029,V00175,P0008,2,2,66.10,132.20
PO000029-5,PO000029,V00176,P0008,1,1,66.10,66.10
PO000029-6,PO000029,V00359,P0015,1,1,96.98,96.98
PO000029-7,PO000029,V00486,P0022,2,2,183.11,366.22
PO000029-8,PO000029,V00490,P0022,2,2,183.11,366.22
PO000029-9,PO000029,V00612,P0029,1,1,68.37,68.37
PO000029-10,PO000029,V00613,P0029,1,1,68.37,68.37
PO000029-11,PO000029,V00739,P0050,1,1,106.64,106.64
PO000030-1,PO000030,V00018,P0001,1,1,128.94,128.94
PO000030-2,PO000030,V00173,P0008,1,1,66.10,66.10
PO000030-3,PO000030,V00175,P0008,1,1,66.10,66.10
PO000030-4,PO000030,V00185,P0008,1,1,66.10,66.10
PO000030-5,PO000030,V00359,P0015,1,1,96.98,96.98
PO000030-6,PO000030,V00475,P0022,1,1,183.11,183.11
PO000030-7,PO000030,V00489,P0022,1,1,183.11,183.11
PO000030-8,PO000030,V00602,P0029,1,1,68.37,68.37
PO000030-9,PO000030,V00605,P0029,1,1,68.37,68.37
PO000030-10,PO000030,V00616,P0029,1,1,68.37,68.37
PO000030-11,PO000030,V00711,P0036,2,2,71.07,142.14
PO000030-12,PO000030,V00712,P0036,1,1,71.07,71.07
PO000030-13,PO000030,V00725,P0043,1,1,69.41,69.41
PO000031-1,PO000031,V00006,P0001,1,1,128.94,128.94
PO000031-2,PO000031,V00184,P0008,1,1,66.10,66.10
PO000031-3,PO000031,V00186,P0008,1,1,66.10,66.10
PO000031-4,PO000031,V00477,P0022,1,1,183.11,183.11
PO000031-5,PO000031,V00712,P0036,1,1,71.07,71.07
PO000031-6,PO000031,V00739,P0050,3,3,106.64,319.92
PO000032-1,PO000032,V00074,P0004,1,1,113.76,113.76
PO000032-2,PO000032,V00076,P0004,1,1,113.76,113.76
PO000032-3,PO000032,V00078,P0004,1,1,113.76,113.76
PO000032-4,PO000032,V00080,P0004,1,1,113.76,113.76
PO000032-5,PO000032,V00089,P0004,1,1,113.76,113.76
PO000032-6,PO000032,V00244,P0011,1,1,64.70,64.70
PO000032-7,PO000032,V00258,P0011,1,1,64.70,64.70
PO000032-8,PO000032,V00405,P0018,1,1,76.28,76.28
PO000032-9,PO000032,V00406,P0018,1,1,76.28,76.28
PO000032-10,PO000032,V00411,P0018,3,3,76.28,228.84
PO000032-11,PO000032,V00418,P0018,1,1,76.28,76.28
PO000032-12,PO000032,V00533,P0025,1,1,37.91,37.91
PO000032-13,PO000032,V00544,P0025,2,2,37.91,75.82
PO000032-14,PO000032,V00656,P0032,2,2,19.58,39.16
PO000032-15,PO000032,V00663,P0032,1,1,19.58,19.58
PO000032-16,PO000032,V00664,P0032,1,1,19.58,19.58
PO000032-17,PO000032,V00665,P0032,1,1,19.58,19.58
PO000032-18,PO000032,V00731,P0046,2,2,48.96,97.92
PO000032-19,PO000032,V00732,P0046,2,2,48.96,97.92
PO000033-1,PO000033,V00710,P0035,1,1,82.32,82.32
PO000034-1,PO000034,V00007,P0001,1,1,128.94,128.94
PO000034-2,PO000034,V00170,P0008,1,1,66.10,66.10
PO000034-3,PO000034,V00490,P0022,2,2,183.11,366.22
PO000034-4,PO000034,V00726,P0043,1,1,69.41,69.41
PO000034-5,PO000034,V00739,P0050,3,3,106.64,319.92
PO000034-6,PO000034,V00740,P0050,1,1,106.64,106.64
PO000035-1,PO000035,V00243,P0011,1,1,64.70,64.70
PO000035-2,PO000035,V00405,P0018,2,2,76.28,152.56
PO000035-3,PO000035,V00416,P0018,1,1,76.28,76.28
PO000035-4,PO000035,V00663,P0032,1,1,19.58,19.58
PO000035-5,PO000035,V00664,P0032,1,1,19.58,19.58
PO000035-6,PO000035,V00718,P0039,1,1,88.32,88.32
PO000035-7,PO000035,V00732,P0046,1,1,48.96,48.96
PO000036-1,PO000036,V00711,P0036,2,2,71.07,142.14
PO000036-2,PO000036,V00726,P0043,2,2,69.41,138.82
PO000036-3,PO000036,V00740,P0050,1,1,106.64,106.64
PO000037-1,PO000037,V00585,P0028,1,1,43.73,43.73
PO000037-2,PO000037,V00710,P0035,1,1,82.32,82.32
PO000038-1,PO000038,V00200,P0009,1,1,50.35,50.35
PO000038-2,PO000038,V00635,P0030,2,2,54.14,108.28
PO000039-1,PO000039,V00015,P0001,1,0,128.94,128.94
PO000039-2,PO000039,V00187,P0008,1,1,66.10,66.10
PO000039-3,PO000039,V00352,P0015,3,3,96.98,290.94
PO000039-4,PO000039,V00358,P0015,1,1,96.98,96.98
PO000039-5,PO000039,V00488,P0022,1,1,183.11,183.11
PO000039-6,PO000039,V00609,P0029,1,1,68.37,68.37
PO000039-7,PO000039,V00615,P0029,1,1,68.37,68.37
PO000039-8,PO000039,V00712,P0036,1,0,71.07,71.07
PO000039-9,PO000039,V00725,P0043,1,0,69.41,69.41
PO000039-10,PO000039,V00726,P0043,1,1,69.41,69.41
PO000039-11,PO000039,V00739,P0050,1,0,106.64,106.64
PO000039-12,PO000039,V00740,P0050,2,2,106.64,213.28
PO000040-1,PO000040,V00078,P0004,1,1,113.76,113.76
PO000041-1,PO000041,V00714,P0037,1,1,116.94,116.94
PO000042-1,PO000042,V00251,P0011,1,1,64.70,64.70
PO000042-2,PO000042,V00417,P0018,2,2,76.28,152.56
PO000042-3,PO000042,V00543,P0025,1,1,37.91,37.91
PO000042-4,PO000042,V00717,P0039,1,1,88.32,88.32
PO000043-1,PO000043,V00148,P0007,1,1,50.66,50.66
PO000043-2,PO000043,V00159,P0007,1,1,50.66,50.66
PO000043-3,PO000043,V00165,P0007,1,1,50.66,50.66
PO000043-4,PO000043,V00317,P0014,2,2,76.85,153.70
PO000043-5,PO000043,V00321,P0014,1,1,76.85,76.85
PO000043-6,PO000043,V00328,P0014,1,1,76.85,76.85
PO000043-7,PO000043,V00584,P0028,1,1,43.73,43.73
PO000043-8,PO000043,V00586,P0028,2,2,43.73,87.46
PO000043-9,PO000043,V00598,P0028,1,0,43.73,43.73
PO000043-10,PO000043,V00709,P0035,5,5,82.32,411.60
PO000043-11,PO000043,V00710,P0035,2,2,82.32,164.64
PO000043-12,PO000043,V00724,P0042,2,2,142.14,284.28
PO000043-13,PO000043,V00737,P0049,1,1,24.49,24.49
PO000044-1,PO000044,V00076,P0004,1,1,113.76,113.76
PO000044-2,PO000044,V00731,P0046,1,1,48.96,48.96
PO000045-1,PO000045,V00092,P0004,1,1,113.76,113.76
PO000045-2,PO000045,V00247,P0011,1,1,64.70,64.70
PO000045-3,PO000045,V00248,P0011,2,2,64.70,129.40
PO000045-4,PO000045,V00255,P0011,1,1,64.70,64.70
PO000045-5,PO000045,V00404,P0018,1,1,76.28,76.28
PO000045-6,PO000045,V00413,P0018,1,1,76.28,76.28
PO000045-7,PO000045,V00415,P0018,2,2,76.28,152.56
PO000045-8,PO000045,V00417,P0018,1,1,76.28,76.28
PO000045-9,PO000045,V00536,P0025,1,1,37.91,37.91
PO000045-10,PO000045,V00546,P0025,2,2,37.91,75.82
PO000045-11,PO000045,V00664,P0032,1,1,19.58,19.58
PO000045-12,PO000045,V00669,P0032,2,2,19.58,39.16
PO000045-13,PO000045,V00672,P0032,1,1,19.58,19.58
PO000045-14,PO000045,V00717,P0039,1,1,88.32,88.32
PO000045-15,PO000045,V00718,P0039,1,1,88.32,88.32
PO000045-16,PO000045,V00731,P0046,1,1,48.96,48.96
PO000046-1,PO000046,V00009,P0001,1,1,128.94,128.94
PO000046-2,PO000046,V00341,P0015,2,2,96.98,193.96
PO000046-3,PO000046,V00488,P0022,1,1,183.11,183.11
PO000046-4,PO000046,V00602,P0029,1,1,68.37,68.37
PO000046-5,PO000046,V00603,P0029,1,1,68.37,68.37
PO000046-6,PO000046,V00604,P0029,1,1,68.37,68.37
PO000047-1,PO000047,V00091,P0004,1,1,113.76,113.76
PO000047-2,PO000047,V00538,P0025,1,1,37.91,37.91
PO000047-3,PO000047,V00539,P0025,1,1,37.91,37.91
PO000047-4,PO000047,V00544,P0025,1,1,37.91,37.91
PO000047-5,PO000047,V00731,P0046,1,1,48.96,48.96
PO000048-1,PO000048,V00140,P0006,2,2,72.02,144.04
PO000049-1,PO000049,V00187,P0008,1,1,66.10,66.10
PO000049-2,PO000049,V00352,P0015,1,1,96.98,96.98
PO000049-3,PO000049,V00478,P0022,1,1,183.11,183.11
PO000050-1,PO000050,V00082,P0004,2,2,113.76,227.52
PO000050-2,PO000050,V00539,P0025,2,2,37.91,75.82
PO000050-3,PO000050,V00663,P0032,1,1,19.58,19.58
PO000050-4,PO000050,V00732,P0046,1,1,48.96,48.96
PO000051-1,PO000051,V00041,P0002,1,1,78.05,78.05
PO000051-2,PO000051,V00195,P0009,1,0,50.35,50.35
PO000051-3,PO000051,V00202,P0009,1,1,50.35,50.35
PO000051-4,PO000051,V00365,P0016,1,1,84.90,84.90
PO000051-5,PO000051,V00494,P0023,1,1,63.21,63.21
PO000051-6,PO000051,V00625,P0030,1,1,54.14,54.14
PO000051-7,PO000051,V00632,P0030,1,1,54.14,54.14
PO000051-8,PO000051,V00633,P0030,1,1,54.14,54.14
PO000051-9,PO000051,V00713,P0037,1,0,116.94,116.94
PO000051-10,PO000051,V00714,P0037,2,1,116.94,233.88
PO000051-11,PO000051,V00727,P0044,4,3,59.10,236.40
PO000051-12,PO000051,V00728,P0044,2,2,59.10,118.20
PO000052-1,PO000052,V00531,P0025,1,1,37.91,37.91
PO000053-1,PO000053,V00246,P0011,1,1,64.70,64.70
PO000054-1,PO000054,V00167,P0007,1,1,50.66,50.66
PO000054-2,PO000054,V00314,P0014,1,1,76.85,76.85
PO000054-3,PO000054,V00710,P0035,1,1,82.32,82.32
PO000055-1,PO000055,V00015,P0001,1,1,128.94,128.94
PO000055-2,PO000055,V00016,P0001,1,1,128.94,128.94
PO000055-3,PO000055,V00175,P0008,2,2,66.10,132.20
PO000055-4,PO000055,V00353,P0015,1,1,96.98,96.98
PO000055-5,PO000055,V00483,P0022,3,3,183.11,549.33
PO000055-6,PO000055,V00602,P0029,2,2,68.37,136.74
PO000055-7,PO000055,V00609,P0029,1,1,68.37,68.37
PO000055-8,PO000055,V00616,P0029,1,1,68.37,68.37
PO000055-9,PO000055,V00711,P0036,1,1,71.07,71.07
PO000055-10,PO000055,V00726,P0043,1,1,69.41,69.41
PO000055-11,PO000055,V00740,P0050,1,1,106.64,106.64
PO000056-1,PO000056,V00737,P0049,1,1,24.49,24.49
PO000057-1,PO000057,V00381,P0016,2,2,84.90,169.80
PO000058-1,PO000058,V00459,P0021,1,1,129.34,129.34
PO000058-2,PO000058,V00460,P0021,1,1,129.34,129.34
PO000058-3,PO000058,V00593,P0028,1,1,43.73,43.73
PO000058-4,PO000058,V00737,P0049,1,1,24.49,24.49
PO000058-5,PO000058,V00738,P0049,1,1,24.49,24.49
PO000059-1,PO000059,V00478,P0022,1,1,183.11,183.11
PO000059-2,PO000059,V00711,P0036,1,1,71.07,71.07
PO000059-3,PO000059,V00740,P0050,1,1,106.64,106.64
PO000060-1,PO000060,V00354,P0015,1,1,96.98,96.98
PO000060-2,PO000060,V00607,P0029,1,1,68.37,68.37
PO000060-3,PO000060,V00610,P0029,1,1,68.37,68.37
PO000061-1,PO000061,V00262,P0011,1,1,64.70,64.70
PO000061-2,PO000061,V00404,P0018,1,1,76.28,76.28
PO000061-3,PO000061,V00412,P0018,1,1,76.28,76.28
PO000061-4,PO000061,V00538,P0025,1,1,37.91,37.91
PO000061-5,PO000061,V00718,P0039,1,1,88.32,88.32
PO000062-1,PO000062,V00623,P0030,1,1,54.14,54.14
PO000062-2,PO000062,V00628,P0030,1,1,54.14,54.14
PO000062-3,PO000062,V00634,P0030,1,1,54.14,54.14
PO000062-4,PO000062,V00741,P0051,1,1,32.91,32.91
PO000063-1,PO000063,V00162,P0007,1,1,50.66,50.66
PO000063-2,PO000063,V00315,P0014,1,1,76.85,76.85
PO000063-3,PO000063,V00737,P0049,1,1,24.49,24.49
PO000064-1,PO000064,V00741,P0051,1,1,32.91,32.91
PO000065-1,PO000065,V00353,P0015,1,1,96.98,96.98
PO000065-2,PO000065,V00358,P0015,1,1,96.98,96.98
PO000065-3,PO000065,V00609,P0029,1,1,68.37,68.37
PO000065-4,PO000065,V00725,P0043,2,2,69.41,138.82
PO000066-1,PO000066,V00038,P0002,1,1,78.05,78.05
PO000066-2,PO000066,V00045,P0002,1,1,78.05,78.05
PO000066-3,PO000066,V00193,P0009,1,1,50.35,50.35
PO000066-4,PO000066,V00493,P0023,1,1,63.21,63.21
PO000066-5,PO000066,V00500,P0023,2,2,63.21,126.42
PO000066-6,PO000066,V00713,P0037,2,2,116.94,233.88
PO000066-7,PO000066,V00741,P0051,3,3,32.91,98.73
PO000066-8,PO000066,V00742,P0051,1,1,32.91,32.91
PO000067-1,PO000067,V00015,P0001,1,1,128.94,128.94
PO000068-1,PO000068,V00141,P0006,1,1,72.02,72.02
PO000068-2,PO000068,V00693,P0034,1,1,30.69,30.69
PO000069-1,PO000069,V00076,P0004,1,1,113.76,113.76
PO000069-2,PO000069,V00077,P0004,1,1,113.76,113.76
PO000069-3,PO000069,V00241,P0011,2,2,64.70,129.40
PO000069-4,PO000069,V00247,P0011,1,1,64.70,64.70
PO000069-5,PO000069,V00260,P0011,1,1,64.70,64.70
PO000069-6,PO000069,V00417,P0018,1,1,76.28,76.28
PO000069-7,PO000069,V00541,P0025,2,2,37.91,75.82
PO000069-8,PO000069,V00544,P0025,1,1,37.91,37.91
PO000069-9,PO000069,V00661,P0032,2,2,19.58,39.16
PO000069-10,PO000069,V00663,P0032,2,2,19.58,39.16
PO000069-11,PO000069,V00671,P0032,1,1,19.58,19.58
PO000069-12,PO000069,V00731,P0046,2,2,48.96,97.92
PO000070-1,PO000070,V00158,P0007,1,1,50.66,50.66
PO000070-2,PO000070,V00458,P0021,1,1,129.34,129.34
PO000070-3,PO000070,V00459,P0021,2,2,129.34,258.68
PO000070-4,PO000070,V00460,P0021,1,1,129.34,129.34
PO000070-5,PO000070,V00462,P0021,1,1,129.34,129.34
PO000070-6,PO000070,V00596,P0028,1,1,43.73,43.73
PO000070-7,PO000070,V00709,P0035,1,1,82.32,82.32
PO000070-8,PO000070,V00723,P0042,2,2,142.14,284.28
PO000070-9,PO000070,V00724,P0042,1,1,142.14,142.14
PO000071-1,PO000071,V00195,P0009,2,2,50.35,100.70
PO000071-2,PO000071,V00209,P0009,2,2,50.35,100.70
PO000071-3,PO000071,V00379,P0016,1,1,84.90,84.90
PO000071-4,PO000071,V00620,P0030,1,1,54.14,54.14
PO000071-5,PO000071,V00628,P0030,1,1,54.14,54.14
PO000071-6,PO000071,V00714,P0037,1,1,116.94,116.94
PO000071-7,PO000071,V00727,P0044,1,1,59.10,59.10
PO000071-8,PO000071,V00741,P0051,1,1,32.91,32.91
PO000072-1,PO000072,V00077,P0004,1,1,113.76,113.76
PO000072-2,PO000072,V00533,P0025,1,1,37.91,37.91
PO000072-3,PO000072,V00546,P0025,1,1,37.91,37.91
PO000072-4,PO000072,V00655,P0032,1,1,19.58,19.58
PO000072-5,PO000072,V00669,P0032,1,1,19.58,19.58
PO000073-1,PO000073,V00508,P0023,1,1,63.21,63.21
PO000073-2,PO000073,V00714,P0037,2,2,116.94,233.88
PO000073-3,PO000073,V00728,P0044,1,1,59.10,59.10
PO000074-1,PO000074,V00596,P0028,1,1,43.73,43.73
PO000075-1,PO000075,V00046,P0002,1,1,78.05,78.05
PO000075-2,PO000075,V00713,P0037,2,2,116.94,233.88
PO000075-3,PO000075,V00741,P0051,1,1,32.91,32.91
PO000076-1,PO000076,V00373,P0016,1,1,84.90,84.90
PO000076-2,PO000076,V00499,P0023,1,1,63.21,63.21
PO000076-3,PO000076,V00713,P0037,2,2,116.94,233.88
PO000077-1,PO000077,V00089,P0004,1,1,113.76,113.76
PO000077-2,PO000077,V00260,P0011,1,1,64.70,64.70
PO000077-3,PO000077,V00731,P0046,2,2,48.96,97.92
PO000078-1,PO000078,V00127,P0006,1,1,72.02,72.02
PO000078-2,PO000078,V00136,P0006,2,2,72.02,144.04
PO000078-3,PO000078,V00137,P0006,1,1,72.02,72.02
PO000078-4,PO000078,V00138,P0006,1,1,72.02,72.02
PO000078-5,PO000078,V00144,P0006,1,1,72.02,72.02
PO000078-6,PO000078,V00293,P0013,2,2,77.03,154.06
PO000078-7,PO000078,V00439,P0020,1,0,217.91,217.91
PO000078-8,PO000078,V00445,P0020,1,1,217.91,217.91
PO000078-9,PO000078,V00448,P0020,2,2,217.91,435.82
PO000078-10,PO000078,V00453,P0020,2,2,217.91,435.82
PO000078-11,PO000078,V00567,P0027,2,2,42.30,84.60
PO000078-12,PO000078,V00699,P0034,1,1,30.69,30.69
PO000079-1,PO000079,V00195,P0009,1,1,50.35,50.35
PO000079-2,PO000079,V00215,P0009,1,1,50.35,50.35
PO000079-3,PO000079,V00713,P0037,1,1,116.94,116.94
PO000079-4,PO000079,V00741,P0051,3,3,32.91,98.73
PO000080-1,PO000080,V00197,P0009,1,1,50.35,50.35
PO000080-2,PO000080,V00378,P0016,1,1,84.90,84.90
PO000080-3,PO000080,V00381,P0016,2,2,84.90,169.80
PO000080-4,PO000080,V00500,P0023,1,1,63.21,63.21
PO000080-5,PO000080,V00621,P0030,1,1,54.14,54.14
PO000080-6,PO000080,V00622,P0030,1,1,54.14,54.14
PO000080-7,PO000080,V00632,P0030,1,1,54.14,54.14
PO000080-8,PO000080,V00727,P0044,2,2,59.10,118.20
PO000080-9,PO000080,V00728,P0044,1,1,59.10,59.10
PO000080-10,PO000080,V00741,P0051,1,1,32.91,32.91
PO000080-11,PO000080,V00742,P0051,5,5,32.91,164.55
PO000081-1,PO000081,V00076,P0004,1,1,113.76,113.76
PO000081-2,PO000081,V00077,P0004,2,2,113.76,227.52
PO000081-3,PO000081,V00079,P0004,1,1,113.76,113.76
PO000081-4,PO000081,V00080,P0004,1,1,113.76,113.76
PO000081-5,PO000081,V00083,P0004,1,1,113.76,113.76
PO000081-6,PO000081,V00092,P0004,2,2,113.76,227.52
PO000081-7,PO000081,V00251,P0011,1,1,64.70,64.70
PO000081-8,PO000081,V00264,P0011,1,1,64.70,64.70
PO000081-9,PO000081,V00410,P0018,1,1,76.28,76.28
PO000081-10,PO000081,V00533,P0025,1,1,37.91,37.91
PO000081-11,PO000081,V00538,P0025,1,1,37.91,37.91
PO000081-12,PO000081,V00542,P0025,1,1,37.91,37.91
PO000081-13,PO000081,V00545,P0025,1,1,37.91,37.91
PO000081-14,PO000081,V00658,P0032,1,1,19.58,19.58
PO000081-15,PO000081,V00665,P0032,2,2,19.58,39.16
PO000081-16,PO000081,V00731,P0046,2,2,48.96,97.92
PO000081-17,PO000081,V00732,P0046,1,1,48.96,48.96
PO000082-1,PO000082,V00658,P0032,1,1,19.58,19.58
PO000082-2,PO000082,V00731,P0046,2,2,48.96,97.92
PO000083-1,PO000083,V00735,P0048,1,1,40.99,40.99
PO000084-1,PO000084,V00007,P0001,1,1,128.94,128.94
PO000084-2,PO000084,V00014,P0001,1,1,128.94,128.94
PO000084-3,PO000084,V00018,P0001,1,1,128.94,128.94
PO000084-4,PO000084,V00024,P0001,1,1,128.94,128.94
PO000084-5,PO000084,V00173,P0008,3,3,66.10,198.30
PO000084-6,PO000084,V00178,P0008,1,1,66.10,66.10
PO000084-7,PO000084,V00185,P0008,1,1,66.10,66.10
PO000084-8,PO000084,V00358,P0015,2,2,96.98,193.96
PO000084-9,PO000084,V00477,P0022,1,1,183.11,183.11
