OrderID,OrderNumber,StoreID,CustomerID,Channel,OrderDate,OrderStatus,GrossAmount,DiscountAmount,SubTotal,TaxAmount,OrderTotal,PaymentMethod
SO000022,YK-2025-000022,ST017,C03149,Store,2025-01-01,Completed,1282.75,178.02,1104.73,91.14,1195.87,Credit Card
SO000023,YK-2025-000023,ST018,C00634,Store,2025-01-01,Completed,157.95,0.00,157.95,13.03,170.98,Credit Card
SO000024,YK-2025-000024,ST900,C00131,Online,2025-01-01,Completed,48.95,4.90,44.05,3.63,47.68,Yuktikara Rewards Card
SO000025,YK-2025-000025,ST900,C00929,Online,2025-01-01,Completed,150.85,0.00,150.85,12.45,163.30,Mobile Wallet
SO000026,YK-2025-000026,ST900,C03076,Online,2025-01-01,Completed,679.90,271.96,407.94,33.66,441.60,Yuktikara Rewards Card
SO000027,YK-2025-000027,ST900,C00166,Online,2025-01-01,Completed,164.95,0.00,164.95,13.61,178.56,Credit Card
SO000028,YK-2025-000028,ST900,C03310,Online,2025-01-01,Completed,456.90,64.78,392.12,32.35,424.47,Credit Card
SO000029,YK-2025-000029,ST900,C00006,Online,2025-01-01,Completed,89.95,0.00,89.95,7.42,97.37,Debit Card
SO000030,YK-2025-000030,ST001,C01069,Store,2025-01-02,Completed,133.95,33.49,100.46,8.29,108.75,Debit Card
SO000031,YK-2025-000031,ST001,C04558,Store,2025-01-02,Completed,135.95,33.99,101.96,8.41,110.37,Credit Card
SO000032,YK-2025-000032,ST002,C02203,Store,2025-01-02,Completed,353.90,108.57,245.33,20.24,265.57,Credit Card
SO000033,YK-2025-000033,ST004,C01921,Store,2025-01-02,Completed,240.95,0.00,240.95,19.88,260.83,Yuktikara Rewards Card
SO000034,YK-2025-000034,ST004,C04253,Store,2025-01-02,Completed,301.90,28.94,272.96,22.52,295.48,Yuktikara Rewards Card
SO000035,YK-2025-000035,ST004,C04245,Store,2025-01-02,Completed,192.95,38.59,154.36,12.73,167.09,Gift Card
SO000036,YK-2025-000036,ST005,C02572,Store,2025-01-02,Completed,339.95,84.99,254.96,21.03,275.99,Credit Card
SO000037,YK-2025-000037,ST008,C05479,Store,2025-01-02,Completed,82.95,0.00,82.95,6.84,89.79,Yuktikara Rewards Card
SO000038,YK-2025-000038,ST009,C04944,Store,2025-01-02,Completed,567.75,78.97,488.78,40.32,529.10,Debit Card
SO000039,YK-2025-000039,ST011,C05801,Store,2025-01-02,Completed,135.95,0.00,135.95,11.22,147.17,Credit Card
SO000040,YK-2025-000040,ST011,C03093,Store,2025-01-02,Completed,192.95,0.00,192.95,15.92,208.87,Credit Card
SO000041,YK-2025-000041,ST011,C00485,Store,2025-01-02,Completed,439.95,0.00,439.95,36.30,476.25,Mobile Wallet
SO000042,YK-2025-000042,ST012,C01642,Store,2025-01-02,Completed,113.90,30.47,83.43,6.88,90.31,Credit Card
SO000043,YK-2025-000043,ST012,C01778,Store,2025-01-02,Completed,133.95,13.40,120.55,9.95,130.50,Debit Card
SO000044,YK-2025-000044,ST012,C00590,Store,2025-01-02,Completed,339.95,50.99,288.96,23.84,312.80,Debit Card
SO000045,YK-2025-000045,ST013,C03508,Store,2025-01-02,Completed,89.95,35.98,53.97,4.45,58.42,Credit Card
SO000046,YK-2025-000046,ST014,C03011,Store,2025-01-02,Completed,694.80,92.95,601.85,49.65,651.50,Credit Card
SO000047,YK-2025-000047,ST015,C00909,Store,2025-01-02,Completed,388.90,22.90,366.00,30.20,396.20,Debit Card
SO000048,YK-2025-000048,ST015,C04182,Store,2025-01-02,Completed,1270.60,291.17,979.43,80.80,1060.23,Credit Card
SO000049,YK-2025-000049,ST016,C03385,Store,2025-01-02,Completed,159.95,0.00,159.95,13.20,173.15,Gift Card
SO000050,YK-2025-000050,ST017,C05851,Store,2025-01-02,Shipped,1138.70,303.53,835.17,68.90,904.07,Gift Card
SO000051,YK-2025-000051,ST018,C02726,Store,2025-01-02,Completed,93.95,23.49,70.46,5.81,76.27,Mobile Wallet
SO000052,YK-2025-000052,ST900,C04716,Online,2025-01-02,Completed,255.90,24.59,231.31,19.08,250.39,Debit Card
SO000053,YK-2025-000053,ST900,C01944,Online,2025-01-02,Completed,177.95,71.18,106.77,8.81,115.58,Debit Card
SO000054,YK-2025-000054,ST900,C04113,Online,2025-01-02,Completed,122.95,0.00,122.95,10.14,133.09,Credit Card
SO000055,YK-2025-000055,ST900,C01725,Online,2025-01-02,Completed,93.95,0.00,93.95,7.75,101.70,Debit Card
SO000056,YK-2025-000056,ST900,C00141,Online,2025-01-02,Completed,476.95,119.24,357.71,29.51,387.22,Debit Card
SO000057,YK-2025-000057,ST900,C05904,Online,2025-01-02,Completed,569.85,47.98,521.87,43.05,564.92,Credit Card
SO000058,YK-2025-000058,ST001,C01705,Store,2025-01-03,Completed,941.80,129.32,812.48,67.03,879.51,Yuktikara Rewards Card
SO000059,YK-2025-000059,ST001,C00765,Store,2025-01-03,Completed,89.95,17.99,71.96,5.94,77.90,Debit Card
SO000060,YK-2025-000060,ST001,C05825,Store,2025-01-03,Completed,431.90,43.99,387.91,32.00,419.91,Credit Card
SO000061,YK-2025-000061,ST002,C02069,Store,2025-01-03,Completed,240.95,72.28,168.67,13.92,182.59,Credit Card
SO000062,YK-2025-000062,ST003,C01364,Store,2025-01-03,Completed,339.95,50.99,288.96,23.84,312.80,Yuktikara Rewards Card
SO000063,YK-2025-000063,ST004,C03367,Store,2025-01-03,Completed,846.75,70.73,776.02,64.02,840.04,Credit Card
SO000064,YK-2025-000064,ST004,C00955,Store,2025-01-03,Completed,523.85,0.00,523.85,43.22,567.07,Mobile Wallet
SO000065,YK-2025-000065,ST004,C03020,Store,2025-01-03,Cancelled,336.90,22.10,314.80,25.97,340.77,Debit Card
SO000066,YK-2025-000066,ST006,C00295,Store,2025-01-03,Completed,179.90,0.00,179.90,14.84,194.74,Yuktikara Rewards Card
SO000067,YK-2025-000067,ST006,C01385,Store,2025-01-03,Completed,148.90,14.39,134.51,11.10,145.61,Gift Card
SO000068,YK-2025-000068,ST007,C03406,Store,2025-01-03,Shipped,95.95,0.00,95.95,7.92,103.87,Gift Card
SO000069,YK-2025-000069,ST007,C06093,Store,2025-01-03,Cancelled,412.85,43.58,369.27,30.46,399.73,Credit Card
SO000070,YK-2025-000070,ST008,C02964,Store,2025-01-03,Completed,211.95,31.79,180.16,14.86,195.02,Credit Card
SO000071,YK-2025-000071,ST009,C01124,Store,2025-01-03,Pending,588.80,64.63,524.17,43.24,567.41,Credit Card
SO000072,YK-2025-000072,ST010,C00857,Store,2025-01-03,Completed,132.95,0.00,132.95,10.97,143.92,Credit Card
SO000073,YK-2025-000073,ST010,C03436,Store,2025-01-03,Completed,232.90,46.78,186.12,15.35,201.47,Mobile Wallet
SO000074,YK-2025-000074,ST011,C01691,Store,2025-01-03,Completed,1119.75,244.04,875.71,72.25,947.96,Debit Card
SO000075,YK-2025-000075,ST011,C02522,Store,2025-01-03,Completed,291.90,0.00,291.90,24.08,315.98,Credit Card
SO000076,YK-2025-000076,ST011,C01128,Store,2025-01-03,Completed,281.85,7.34,274.51,22.65,297.16,Credit Card
SO000077,YK-2025-000077,ST012,C03033,Store,2025-01-03,Completed,133.95,20.09,113.86,9.39,123.25,Mobile Wallet
SO000078,YK-2025-000078,ST013,C03245,Store,2025-01-03,Completed,215.95,0.00,215.95,17.82,233.77,Debit Card
SO000079,YK-2025-000079,ST014,C01261,Store,2025-01-03,Completed,228.95,34.34,194.61,16.06,210.67,Credit Card
SO000080,YK-2025-000080,ST015,C02589,Store,2025-01-03,Completed,530.90,135.98,394.92,32.58,427.50,Credit Card
SO000081,YK-2025-000081,ST015,C03894,Store,2025-01-03,Completed,793.80,24.78,769.02,63.44,832.46,Mobile Wallet
SO000082,YK-2025-000082,ST016,C00282,Store,2025-01-03,Completed,133.95,0.00,133.95,11.05,145.00,Debit Card
SO000083,YK-2025-000083,ST018,C00215,Store,2025-01-03,Shipped,495.85,116.21,379.64,31.32,410.96,Mobile Wallet
SO000084,YK-2025-000084,ST900,C03628,Online,2025-01-03,Completed,1228.70,203.44,1025.26,84.58,1109.84,Mobile Wallet
SO000085,YK-2025-000085,ST900,C05269,Online,2025-01-03,Completed,522.80,13.40,509.40,42.03,551.43,Credit Card
SO000086,YK-2025-000086,ST900,C00884,Online,2025-01-03,Completed,122.95,18.44,104.51,8.62,113.13,Mobile Wallet
SO000087,YK-2025-000087,ST900,C03104,Online,2025-01-03,Completed,476.95,0.00,476.95,39.35,516.30,Gift Card
SO000088,YK-2025-000088,ST001,C02603,Store,2025-01-04,Completed,417.80,45.98,371.82,30.68,402.50,Yuktikara Rewards Card
SO000089,YK-2025-000089,ST001,C05046,Store,2025-01-04,Completed,221.85,44.37,177.48,14.64,192.12,Mobile Wallet
SO000090,YK-2025-000090,ST001,C00660,Store,2025-01-04,Completed,484.80,45.13,439.67,36.27,475.94,Mobile Wallet
SO000091,YK-2025-000091,ST002,C00836,Store,2025-01-04,Completed,728.75,56.83,671.92,55.43,727.35,Mobile Wallet
SO000092,YK-2025-000092,ST002,C06089,Store,2025-01-04,Completed,294.85,20.99,273.86,22.59,296.45,Debit Card
SO000093,YK-2025-000093,ST003,C04836,Store,2025-01-04,Completed,364.90,13.60,351.30,28.98,380.28,Mobile Wallet
SO000094,YK-2025-000094,ST004,C00098,Store,2025-01-04,Completed,172.90,0.00,172.90,14.26,187.16,Gift Card
SO000095,YK-2025-000095,ST004,C02846,Store,2025-01-04,Shipped,447.90,27.20,420.70,34.71,455.41,Credit Card
SO000096,YK-2025-000096,ST004,C01929,Store,2025-01-04,Completed,61.95,0.00,61.95,5.11,67.06,Credit Card
SO000097,YK-2025-000097,ST005,C03200,Store,2025-01-04,Completed,278.95,0.00,278.95,23.01,301.96,Credit Card
SO000098,YK-2025-000098,ST005,C02398,Store,2025-01-04,Completed,526.85,23.99,502.86,41.49,544.35,Credit Card
SO000099,YK-2025-000099,ST006,C00238,Store,2025-01-04,Completed,601.85,65.98,535.87,44.21,580.08,Credit Card
SO000100,YK-2025-000100,ST006,C01333,Store,2025-01-04,Completed,1268.70,184.72,1083.98,89.43,1173.41,Yuktikara Rewards Card
SO000101,YK-2025-000101,ST007,C04885,Store,2025-01-04,Completed,116.95,29.24,87.71,7.24,94.95,Credit Card
SO000102,YK-2025-000102,ST007,C00922,Store,2025-01-04,Completed,434.80,35.08,399.72,32.98,432.70,Gift Card
SO000103,YK-2025-000103,ST008,C00483,Store,2025-01-04,Completed,674.80,50.38,624.42,51.51,675.93,Credit Card
SO000104,YK-2025-000104,ST008,C01598,Store,2025-01-04,Completed,250.95,0.00,250.95,20.70,271.65,Gift Card
SO000105,YK-2025-000105,ST009,C01120,Store,2025-01-04,Cancelled,131.95,0.00,131.95,10.89,142.84,Credit Card
SO000106,YK-2025-000106,ST009,C00944,Store,2025-01-04,Completed,770.75,105.57,665.18,54.88,720.06,Mobile Wallet
SO000107,YK-2025-000107,ST010,C04284,Store,2025-01-04,Cancelled,135.95,20.39,115.56,9.53,125.09,Credit Card
SO000108,YK-2025-000108,ST010,C02742,Store,2025-01-04,Cancelled,39.95,0.00,39.95,3.30,43.25,Credit Card
SO000109,YK-2025-000109,ST011,C06168,Store,2025-01-04,Completed,358.95,107.68,251.27,20.73,272.00,Credit Card
SO000110,YK-2025-000110,ST011,C01698,Store,2025-01-04,Completed,177.95,53.38,124.57,10.28,134.85,Credit Card
SO000111,YK-2025-000111,ST011,C05060,Store,2025-01-04,Completed,245.90,36.88,209.02,17.24,226.26,Credit Card
SO000112,YK-2025-000112,ST011,C02413,Store,2025-01-04,Shipped,133.95,0.00,133.95,11.05,145.00,Credit Card
SO000113,YK-2025-000113,ST011,C04277,Store,2025-01-04,Completed,616.80,159.15,457.65,37.76,495.41,Credit Card
SO000114,YK-2025-000114,ST011,C05559,Store,2025-01-04,Completed,1243.70,261.12,982.58,81.06,1063.64,Credit Card
SO000115,YK-2025-000115,ST012,C03132,Store,2025-01-04,Pending,982.80,87.58,895.22,73.86,969.08,Debit Card
SO000116,YK-2025-000116,ST013,C05056,Store,2025-01-04,Completed,729.85,68.68,661.17,54.55,715.72,Credit Card
SO000117,YK-2025-000117,ST014,C03361,Store,2025-01-04,Completed,567.80,107.76,460.04,37.95,497.99,Mobile Wallet
SO000118,YK-2025-000118,ST014,C03044,Store,2025-01-04,Completed,114.90,0.00,114.90,9.48,124.38,Yuktikara Rewards Card
SO000119,YK-2025-000119,ST015,C04743,Store,2025-01-04,Completed,219.95,0.00,219.95,18.15,238.10,Credit Card
SO000120,YK-2025-000120,ST015,C02163,Store,2025-01-04,Completed,126.95,0.00,126.95,10.47,137.42,Credit Card
SO000121,YK-2025-000121,ST015,C03471,Store,2025-01-04,Shipped,51.95,20.78,31.17,2.57,33.74,Debit Card
SO000122,YK-2025-000122,ST015,C02383,Store,2025-01-04,Shipped,361.85,81.57,280.28,23.12,303.40,Mobile Wallet
SO000123,YK-2025-000123,ST016,C02281,Store,2025-01-04,Completed,323.90,76.38,247.52,20.42,267.94,Debit Card
SO000124,YK-2025-000124,ST016,C05414,Store,2025-01-04,Pending,405.90,20.09,385.81,31.83,417.64,Credit Card
SO000125,YK-2025-000125,ST017,C00238,Store,2025-01-04,Completed,122.95,24.59,98.36,8.11,106.47,Gift Card
SO000126,YK-2025-000126,ST017,C02831,Store,2025-01-04,Completed,796.80,135.98,660.82,54.52,715.34,Debit Card
SO000127,YK-2025-000127,ST018,C04261,Store,2025-01-04,Shipped,135.95,40.78,95.17,7.85,103.02,Credit Card
SO000128,YK-2025-000128,ST018,C05809,Store,2025-01-04,Completed,712.85,152.76,560.09,46.21,606.30,Mobile Wallet
SO000129,YK-2025-000129,ST018,C04305,Store,2025-01-04,Completed,195.90,23.99,171.91,14.18,186.09,Mobile Wallet
SO000130,YK-2025-000130,ST900,C01909,Online,2025-01-04,Completed,275.90,28.99,246.91,20.37,267.28,Debit Card
SO000131,YK-2025-000131,ST900,C03213,Online,2025-01-04,Completed,341.85,0.00,341.85,28.20,370.05,Debit Card
SO000132,YK-2025-000132,ST900,C05557,Online,2025-01-04,Completed,541.85,35.98,505.87,41.73,547.60,Credit Card
SO000133,YK-2025-000133,ST900,C00822,Online,2025-01-04,Cancelled,95.95,19.19,76.76,6.33,83.09,Mobile Wallet
SO000134,YK-2025-000134,ST001,C00243,Store,2025-01-05,Completed,157.95,0.00,157.95,13.03,170.98,Credit Card
SO000135,YK-2025-000135,ST001,C01367,Store,2025-01-05,Completed,260.85,46.73,214.12,17.66,231.78,Yuktikara Rewards Card
SO000136,YK-2025-000136,ST001,C05711,Store,2025-01-05,Cancelled,127.90,19.18,108.72,8.97,117.69,Credit Card
SO000137,YK-2025-000137,ST001,C05114,Store,2025-01-05,Completed,715.80,132.45,583.35,48.13,631.48,Mobile Wallet
SO000138,YK-2025-000138,ST001,C05803,Store,2025-01-05,Completed,240.95,72.28,168.67,13.92,182.59,Debit Card
SO000139,YK-2025-000139,ST001,C02870,Store,2025-01-05,Completed,717.90,0.00,717.90,59.23,777.13,Credit Card
SO000140,YK-2025-000140,ST002,C00930,Store,2025-01-05,Completed,516.85,88.32,428.53,35.35,463.88,Credit Card
SO000141,YK-2025-000141,ST002,C05341,Store,2025-01-05,Completed,1063.80,37.58,1026.22,84.66,1110.88,Credit Card
SO000142,YK-2025-000142,ST003,C02784,Store,2025-01-05,Pending,526.80,101.46,425.34,35.09,460.43,Credit Card
SO000143,YK-2025-000143,ST003,C05647,Store,2025-01-05,Completed,298.90,40.74,258.16,21.30,279.46,Credit Card
SO000144,YK-2025-000144,ST003,C05857,Store,2025-01-05,Completed,89.95,0.00,89.95,7.42,97.37,Credit Card
SO000145,YK-2025-000145,ST004,C04407,Store,2025-01-05,Shipped,591.85,116.37,475.48,39.23,514.71,Debit Card
SO000146,YK-2025-000146,ST004,C00277,Store,2025-01-05,Shipped,121.95,18.29,103.66,8.55,112.21,Credit Card
SO000147,YK-2025-000147,ST005,C01929,Store,2025-01-05,Completed,271.95,108.78,163.17,13.46,176.63,Credit Card
SO000148,YK-2025-000148,ST005,C02021,Store,2025-01-05,Cancelled,122.95,24.59,98.36,8.11,106.47,Mobile Wallet
SO000149,YK-2025-000149,ST006,C00251,Store,2025-01-05,Completed,188.90,12.70,176.20,14.54,190.74,Debit Card
SO000150,YK-2025-000150,ST006,C01043,Store,2025-01-05,Completed,135.95,0.00,135.95,11.22,147.17,Yuktikara Rewards Card
SO000151,YK-2025-000151,ST006,C06078,Store,2025-01-05,Completed,104.90,0.00,104.90,8.65,113.55,Credit Card
SO000152,YK-2025-000152,ST007,C03494,Store,2025-01-05,Cancelled,52.95,0.00,52.95,4.37,57.32,Credit Card
SO000153,YK-2025-000153,ST008,C01844,Store,2025-01-05,Completed,902.65,131.35,771.30,63.63,834.93,Yuktikara Rewards Card
SO000154,YK-2025-000154,ST008,C02448,Store,2025-01-05,Completed,75.95,0.00,75.95,6.27,82.22,Debit Card
SO000155,YK-2025-000155,ST009,C06007,Store,2025-01-05,Shipped,301.90,79.97,221.93,18.31,240.24,Yuktikara Rewards Card
SO000156,YK-2025-000156,ST009,C00492,Store,2025-01-05,Completed,575.80,65.87,509.93,42.07,552.00,Credit Card
SO000157,YK-2025-000157,ST009,C00183,Store,2025-01-05,Completed,549.80,47.98,501.82,41.40,543.22,Yuktikara Rewards Card
SO000158,YK-2025-000158,ST010,C02430,Store,2025-01-05,Shipped,513.80,56.67,457.13,37.71,494.84,Credit Card
SO000159,YK-2025-000159,ST010,C03402,Store,2025-01-05,Shipped,211.95,0.00,211.95,17.49,229.44,Mobile Wallet
SO000160,YK-2025-000160,ST010,C01110,Store,2025-01-05,Completed,735.80,55.58,680.22,56.12,736.34,Debit Card
SO000161,YK-2025-000161,ST011,C02659,Store,2025-01-05,Completed,122.95,0.00,122.95,10.14,133.09,Credit Card
SO000162,YK-2025-000162,ST011,C00084,Store,2025-01-05,Completed,75.95,0.00,75.95,6.27,82.22,Debit Card
SO000163,YK-2025-000163,ST011,C04171,Store,2025-01-05,Completed,159.95,23.99,135.96,11.22,147.18,Yuktikara Rewards Card
SO000164,YK-2025-000164,ST011,C03979,Store,2025-01-05,Completed,657.80,191.94,465.86,38.43,504.29,Credit Card
SO000165,YK-2025-000165,ST011,C05809,Store,2025-01-05,Completed,167.90,67.16,100.74,8.31,109.05,Yuktikara Rewards Card
SO000166,YK-2025-000166,ST012,C01626,Store,2025-01-05,Completed,394.90,65.68,329.22,27.16,356.38,Debit Card
SO000167,YK-2025-000167,ST013,C01537,Store,2025-01-05,Completed,135.95,0.00,135.95,11.22,147.17,Credit Card
SO000168,YK-2025-000168,ST013,C05082,Store,2025-01-05,Completed,1047.70,216.40,831.30,68.58,899.88,Debit Card
SO000169,YK-2025-000169,ST014,C03548,Store,2025-01-05,Completed,48.95,0.00,48.95,4.04,52.99,Mobile Wallet
SO000170,YK-2025-000170,ST014,C03264,Store,2025-01-05,Completed,606.90,0.00,606.90,50.07,656.97,Yuktikara Rewards Card
SO000171,YK-2025-000171,ST014,C04809,Store,2025-01-05,Completed,564.85,87.58,477.27,39.37,516.64,Credit Card
SO000172,YK-2025-000172,ST015,C03914,Store,2025-01-05,Completed,93.95,0.00,93.95,7.75,101.70,Debit Card
SO000173,YK-2025-000173,ST015,C01051,Store,2025-01-05,Completed,425.95,63.89,362.06,29.87,391.93,Debit Card
SO000174,YK-2025-000174,ST016,C00221,Store,2025-01-05,Completed,126.95,38.08,88.87,7.33,96.20,Credit Card
SO000175,YK-2025-000175,ST016,C00702,Store,2025-01-05,Completed,82.95,0.00,82.95,6.84,89.79,Credit Card
SO000176,YK-2025-000176,ST017,C01939,Store,2025-01-05,Completed,82.95,0.00,82.95,6.84,89.79,Mobile Wallet
SO000177,YK-2025-000177,ST017,C03688,Store,2025-01-05,Shipped,614.80,60.57,554.23,45.72,599.95,Mobile Wallet
SO000178,YK-2025-000178,ST018,C06199,Store,2025-01-05,Completed,410.85,118.36,292.49,24.13,316.62,Yuktikara Rewards Card
SO000179,YK-2025-000179,ST018,C03772,Store,2025-01-05,Completed,828.70,110.36,718.34,59.26,777.60,Yuktikara Rewards Card
SO000180,YK-2025-000180,ST018,C00622,Store,2025-01-05,Completed,401.85,0.00,401.85,33.15,435.00,Yuktikara Rewards Card
SO000181,YK-2025-000181,ST900,C00600,Online,2025-01-05,Cancelled,331.90,41.84,290.06,23.93,313.99,Credit Card
SO000182,YK-2025-000182,ST900,C01159,Online,2025-01-05,Completed,75.95,0.00,75.95,6.27,82.22,Credit Card
SO000183,YK-2025-000183,ST900,C03888,Online,2025-01-05,Completed,488.80,43.23,445.57,36.76,482.33,Debit Card
SO000184,YK-2025-000184,ST900,C04291,Online,2025-01-05,Cancelled,334.90,110.47,224.43,18.52,242.95,Yuktikara Rewards Card
SO000185,YK-2025-000185,ST001,C03366,Store,2025-01-06,Cancelled,115.95,0.00,115.95,9.57,125.52,Debit Card
SO000186,YK-2025-000186,ST001,C00862,Store,2025-01-06,Completed,250.95,0.00,250.95,20.70,271.65,Credit Card
SO000187,YK-2025-000187,ST001,C05834,Store,2025-01-06,Completed,175.95,0.00,175.95,14.52,190.47,Mobile Wallet
SO000188,YK-2025-000188,ST002,C01678,Store,2025-01-06,Completed,438.90,23.99,414.91,34.23,449.14,Debit Card
SO000189,YK-2025-000189,ST002,C03059,Store,2025-01-06,Completed,1275.80,107.68,1168.12,96.37,1264.49,Debit Card
SO000190,YK-2025-000190,ST003,C02589,Store,2025-01-06,Completed,93.95,18.79,75.16,6.20,81.36,Debit Card
SO000191,YK-2025-000191,ST004,C04092,Store,2025-01-06,Completed,1112.65,104.25,1008.40,83.19,1091.59,Debit Card
SO000192,YK-2025-000192,ST004,C00486,Store,2025-01-06,Completed,453.75,95.65,358.10,29.54,387.64,Credit Card
SO000193,YK-2025-000193,ST005,C04177,Store,2025-01-06,Completed,301.85,45.27,256.58,21.17,277.75,Debit Card
SO000194,YK-2025-000194,ST006,C02230,Store,2025-01-06,Completed,476.95,0.00,476.95,39.35,516.30,Credit Card
SO000195,YK-2025-000195,ST007,C05857,Store,2025-01-06,Completed,224.90,19.58,205.32,16.94,222.26,Credit Card
SO000196,YK-2025-000196,ST008,C03737,Store,2025-01-06,Pending,263.90,39.58,224.32,18.51,242.83,Credit Card
SO000197,YK-2025-000197,ST009,C05190,Store,2025-01-06,Cancelled,250.95,100.38,150.57,12.42,162.99,Credit Card
SO000198,YK-2025-000198,ST011,C01631,Store,2025-01-06,Completed,351.90,105.57,246.33,20.32,266.65,Yuktikara Rewards Card
SO000199,YK-2025-000199,ST011,C00972,Store,2025-01-06,Completed,866.75,38.38,828.37,68.34,896.71,Yuktikara Rewards Card
SO000200,YK-2025-000200,ST011,C04281,Store,2025-01-06,Completed,298.80,26.57,272.23,22.46,294.69,Debit Card
SO000201,YK-2025-000201,ST012,C00786,Store,2025-01-06,Completed,189.90,0.00,189.90,15.67,205.57,Credit Card
SO000202,YK-2025-000202,ST013,C02902,Store,2025-01-06,Completed,189.90,52.27,137.63,11.35,148.98,Credit Card
SO000203,YK-2025-000203,ST015,C04938,Store,2025-01-06,Completed,1458.80,319.55,1139.25,93.99,1233.24,Credit Card
SO000204,YK-2025-000204,ST016,C01110,Store,2025-01-06,Completed,673.80,28.78,645.02,53.21,698.23,Debit Card
SO000205,YK-2025-000205,ST017,C02383,Store,2025-01-06,Completed,403.85,0.00,403.85,33.32,437.17,Credit Card
SO000206,YK-2025-000206,ST018,C04030,Store,2025-01-06,Completed,414.90,0.00,414.90,34.23,449.13,Debit Card
SO000207,YK-2025-000207,ST018,C01004,Store,2025-01-06,Pending,800.85,272.64,528.21,43.58,571.79,Credit Card
SO000208,YK-2025-000208,ST900,C05541,Online,2025-01-06,Completed,425.95,0.00,425.95,35.14,461.09,Debit Card
SO000209,YK-2025-000209,ST900,C04977,Online,2025-01-06,Completed,95.95,19.19,76.76,6.33,83.09,Mobile Wallet
SO000210,YK-2025-000210,ST900,C01549,Online,2025-01-06,Completed,119.95,0.00,119.95,9.90,129.85,Debit Card
SO000211,YK-2025-000211,ST900,C04989,Online,2025-01-06,Completed,646.70,111.10,535.60,44.19,579.79,Credit Card
SO000212,YK-2025-000212,ST900,C01077,Online,2025-01-06,Cancelled,52.95,10.59,42.36,3.49,45.85,Credit Card
SO000213,YK-2025-000213,ST900,C04146,Online,2025-01-06,Completed,392.80,66.36,326.44,26.93,353.37,Credit Card
SO000214,YK-2025-000214,ST001,C02557,Store,2025-01-07,Completed,121.95,0.00,121.95,10.06,132.01,Yuktikara Rewards Card
SO000215,YK-2025-000215,ST001,C05015,Store,2025-01-07,Shipped,1016.70,113.55,903.15,74.51,977.66,Credit Card
SO000216,YK-2025-000216,ST001,C02396,Store,2025-01-07,Completed,206.90,0.00,206.90,17.07,223.97,Debit Card
SO000217,YK-2025-000217,ST003,C00387,Store,2025-01-07,Completed,95.95,23.99,71.96,5.94,77.90,Credit Card
