InventoryID,StoreID,VariantID,ProductID,SnapshotDate,FloorQty,BackroomQty,OnHandQty,FloorMinQty,ReorderPoint
ST001-V00223,ST001,V00223,P0010,2026-08-31,16,4,20,6,18
ST001-V00224,ST001,V00224,P0010,2026-08-31,8,9,17,3,9
ST001-V00225,ST001,V00225,P0010,2026-08-31,10,2,12,4,12
ST001-V00226,ST001,V00226,P0010,2026-08-31,4,2,6,2,6
ST001-V00227,ST001,V00227,P0010,2026-08-31,4,5,9,2,6
ST001-V00228,ST001,V00228,P0010,2026-08-31,2,0,2,4,12
ST001-V00229,ST001,V00229,P0010,2026-08-31,8,4,12,4,12
ST001-V00232,ST001,V00232,P0010,2026-08-31,14,3,17,6,18
ST001-V00234,ST001,V00234,P0010,2026-08-31,7,6,13,4,12
ST001-V00235,ST001,V00235,P0010,2026-08-31,2,3,5,2,6
ST001-V00236,ST001,V00236,P0010,2026-08-31,1,4,5,3,9
ST001-V00237,ST001,V00237,P0010,2026-08-31,2,0,2,2,6
ST001-V00239,ST001,V00239,P0010,2026-08-31,5,3,8,2,6
ST001-V00240,ST001,V00240,P0010,2026-08-31,11,16,27,6,18
ST001-V00244,ST001,V00244,P0011,2026-08-31,7,6,13,3,9
ST001-V00245,ST001,V00245,P0011,2026-08-31,2,3,5,3,9
ST001-V00248,ST001,V00248,P0011,2026-08-31,6,4,10,2,6
ST001-V00249,ST001,V00249,P0011,2026-08-31,6,8,14,4,12
ST001-V00250,ST001,V00250,P0011,2026-08-31,0,1,1,3,9
ST001-V00252,ST001,V00252,P0011,2026-08-31,8,9,17,3,9
ST001-V00253,ST001,V00253,P0011,2026-08-31,8,9,17,4,12
ST001-V00255,ST001,V00255,P0011,2026-08-31,5,3,8,2,6
ST001-V00256,ST001,V00256,P0011,2026-08-31,2,2,4,2,6
ST001-V00260,ST001,V00260,P0011,2026-08-31,7,3,10,2,6
ST001-V00264,ST001,V00264,P0011,2026-08-31,6,12,18,3,9
ST001-V00269,ST001,V00269,P0012,2026-08-31,0,0,0,2,6
ST001-V00270,ST001,V00270,P0012,2026-08-31,7,5,12,3,9
ST001-V00271,ST001,V00271,P0012,2026-08-31,7,2,9,4,12
ST001-V00272,ST001,V00272,P0012,2026-08-31,6,6,12,3,9
ST001-V00273,ST001,V00273,P0012,2026-08-31,9,20,29,6,18
ST001-V00275,ST001,V00275,P0012,2026-08-31,3,2,5,2,6
ST001-V00276,ST001,V00276,P0012,2026-08-31,4,2,6,2,6
ST001-V00277,ST001,V00277,P0012,2026-08-31,6,3,9,2,6
ST001-V00278,ST001,V00278,P0012,2026-08-31,2,5,7,3,9
ST001-V00279,ST001,V00279,P0012,2026-08-31,7,0,7,3,9
ST001-V00281,ST001,V00281,P0012,2026-08-31,15,5,20,6,18
ST001-V00285,ST001,V00285,P0012,2026-08-31,4,3,7,2,6
ST001-V00286,ST001,V00286,P0012,2026-08-31,1,7,8,2,6
ST001-V00287,ST001,V00287,P0012,2026-08-31,4,3,7,2,6
ST001-V00288,ST001,V00288,P0012,2026-08-31,6,8,14,3,9
ST001-V00289,ST001,V00289,P0013,2026-08-31,10,5,15,3,9
ST001-V00290,ST001,V00290,P0013,2026-08-31,6,5,11,3,9
ST001-V00292,ST001,V00292,P0013,2026-08-31,8,8,16,4,12
ST001-V00293,ST001,V00293,P0013,2026-08-31,3,6,9,2,6
ST001-V00294,ST001,V00294,P0013,2026-08-31,7,3,10,6,18
ST001-V00295,ST001,V00295,P0013,2026-08-31,6,7,13,3,9
ST001-V00296,ST001,V00296,P0013,2026-08-31,4,3,7,2,6
ST001-V00297,ST001,V00297,P0013,2026-08-31,7,0,7,2,6
ST001-V00298,ST001,V00298,P0013,2026-08-31,4,0,4,2,6
ST001-V00299,ST001,V00299,P0013,2026-08-31,9,8,17,4,12
ST001-V00301,ST001,V00301,P0013,2026-08-31,7,6,13,3,9
ST001-V00305,ST001,V00305,P0013,2026-08-31,3,6,9,2,6
ST001-V00307,ST001,V00307,P0013,2026-08-31,2,5,7,4,12
ST001-V00308,ST001,V00308,P0013,2026-08-31,10,10,20,3,9
ST001-V00309,ST001,V00309,P0013,2026-08-31,12,0,12,4,12
ST001-V00313,ST001,V00313,P0014,2026-08-31,9,4,13,3,9
ST001-V00317,ST001,V00317,P0014,2026-08-31,7,3,10,3,9
ST001-V00318,ST001,V00318,P0014,2026-08-31,8,22,30,6,18
ST001-V00319,ST001,V00319,P0014,2026-08-31,7,2,9,3,9
ST001-V00320,ST001,V00320,P0014,2026-08-31,9,10,19,4,12
ST001-V00322,ST001,V00322,P0014,2026-08-31,5,7,12,3,9
ST001-V00323,ST001,V00323,P0014,2026-08-31,6,4,10,2,6
ST001-V00324,ST001,V00324,P0014,2026-08-31,4,1,5,2,6
ST001-V00325,ST001,V00325,P0014,2026-08-31,3,1,4,3,9
ST001-V00326,ST001,V00326,P0014,2026-08-31,4,4,8,2,6
ST001-V00328,ST001,V00328,P0014,2026-08-31,14,14,28,6,18
ST001-V00329,ST001,V00329,P0014,2026-08-31,4,8,12,3,9
ST001-V00332,ST001,V00332,P0014,2026-08-31,6,4,10,4,12
ST001-V00335,ST001,V00335,P0014,2026-08-31,3,4,7,2,6
ST001-V00336,ST001,V00336,P0014,2026-08-31,6,3,9,3,9
ST001-V00337,ST001,V00337,P0015,2026-08-31,8,6,14,3,9
ST001-V00342,ST001,V00342,P0015,2026-08-31,3,4,7,3,9
ST001-V00343,ST001,V00343,P0015,2026-08-31,5,6,11,3,9
ST001-V00348,ST001,V00348,P0015,2026-08-31,2,1,3,2,6
ST001-V00349,ST001,V00349,P0015,2026-08-31,3,2,5,2,6
ST001-V00350,ST001,V00350,P0015,2026-08-31,9,1,10,4,12
ST001-V00351,ST001,V00351,P0015,2026-08-31,4,6,10,2,6
ST001-V00352,ST001,V00352,P0015,2026-08-31,9,9,18,6,18
ST001-V00353,ST001,V00353,P0015,2026-08-31,3,4,7,3,9
ST001-V00354,ST001,V00354,P0015,2026-08-31,6,8,14,4,12
ST001-V00355,ST001,V00355,P0015,2026-08-31,3,5,8,2,6
ST001-V00356,ST001,V00356,P0015,2026-08-31,4,4,8,3,9
ST001-V00359,ST001,V00359,P0015,2026-08-31,7,6,13,3,9
ST001-V00363,ST001,V00363,P0016,2026-08-31,7,3,10,4,12
ST001-V00366,ST001,V00366,P0016,2026-08-31,9,15,24,4,12
ST001-V00369,ST001,V00369,P0016,2026-08-31,10,8,18,6,18
ST001-V00370,ST001,V00370,P0016,2026-08-31,3,6,9,2,6
ST001-V00371,ST001,V00371,P0016,2026-08-31,4,2,6,2,6
ST001-V00373,ST001,V00373,P0016,2026-08-31,0,5,5,4,12
ST001-V00374,ST001,V00374,P0016,2026-08-31,14,11,25,6,18
ST001-V00375,ST001,V00375,P0016,2026-08-31,6,8,14,3,9
ST001-V00376,ST001,V00376,P0016,2026-08-31,3,1,4,2,6
ST001-V00377,ST001,V00377,P0016,2026-08-31,8,0,8,4,12
ST001-V00378,ST001,V00378,P0016,2026-08-31,4,10,14,3,9
ST001-V00379,ST001,V00379,P0016,2026-08-31,2,3,5,2,6
ST001-V00380,ST001,V00380,P0016,2026-08-31,5,1,6,2,6
ST001-V00383,ST001,V00383,P0016,2026-08-31,4,3,7,3,9
ST001-V00384,ST001,V00384,P0016,2026-08-31,22,16,38,6,18
ST001-V00386,ST001,V00386,P0017,2026-08-31,3,4,7,2,6
ST001-V00388,ST001,V00388,P0017,2026-08-31,9,11,20,4,12
ST001-V00390,ST001,V00390,P0017,2026-08-31,9,9,18,4,12
ST001-V00391,ST001,V00391,P0017,2026-08-31,6,5,11,2,6
ST001-V00393,ST001,V00393,P0017,2026-08-31,2,8,10,4,12
ST001-V00394,ST001,V00394,P0017,2026-08-31,11,18,29,6,18
ST001-V00395,ST001,V00395,P0017,2026-08-31,10,6,16,4,12
ST001-V00396,ST001,V00396,P0017,2026-08-31,3,1,4,2,6
ST001-V00401,ST001,V00401,P0017,2026-08-31,8,2,10,4,12
ST001-V00402,ST001,V00402,P0017,2026-08-31,1,7,8,2,6
ST001-V00405,ST001,V00405,P0018,2026-08-31,6,12,18,3,9
ST001-V00407,ST001,V00407,P0018,2026-08-31,4,0,4,3,9
ST001-V00408,ST001,V00408,P0018,2026-08-31,3,0,3,2,6
ST001-V00409,ST001,V00409,P0018,2026-08-31,5,4,9,4,12
ST001-V00410,ST001,V00410,P0018,2026-08-31,3,9,12,3,9
ST001-V00414,ST001,V00414,P0018,2026-08-31,7,4,11,2,6
ST001-V00418,ST001,V00418,P0018,2026-08-31,3,1,4,2,6
ST001-V00419,ST001,V00419,P0018,2026-08-31,2,5,7,2,6
ST001-V00420,ST001,V00420,P0018,2026-08-31,3,0,3,2,6
ST001-V00421,ST001,V00421,P0019,2026-08-31,3,2,5,3,9
ST001-V00422,ST001,V00422,P0019,2026-08-31,4,4,8,2,6
ST001-V00424,ST001,V00424,P0019,2026-08-31,5,6,11,3,9
ST001-V00427,ST001,V00427,P0019,2026-08-31,5,1,6,3,9
ST001-V00428,ST001,V00428,P0019,2026-08-31,2,1,3,4,12
ST001-V00429,ST001,V00429,P0019,2026-08-31,5,2,7,2,6
ST001-V00430,ST001,V00430,P0019,2026-08-31,11,2,13,3,9
ST001-V00433,ST001,V00433,P0019,2026-08-31,4,0,4,2,6
ST001-V00436,ST001,V00436,P0019,2026-08-31,3,0,3,2,6
ST001-V00439,ST001,V00439,P0020,2026-08-31,5,8,13,3,9
ST001-V00440,ST001,V00440,P0020,2026-08-31,2,3,5,2,6
ST001-V00443,ST001,V00443,P0020,2026-08-31,4,13,17,4,12
ST001-V00444,ST001,V00444,P0020,2026-08-31,11,9,20,3,9
ST001-V00446,ST001,V00446,P0020,2026-08-31,5,5,10,2,6
ST001-V00447,ST001,V00447,P0020,2026-08-31,1,3,4,2,6
ST001-V00448,ST001,V00448,P0020,2026-08-31,2,4,6,2,6
ST001-V00450,ST001,V00450,P0020,2026-08-31,21,2,23,6,18
ST001-V00453,ST001,V00453,P0020,2026-08-31,7,10,17,6,18
ST001-V00454,ST001,V00454,P0020,2026-08-31,8,15,23,4,12
ST001-V00456,ST001,V00456,P0020,2026-08-31,1,5,6,3,9
ST001-V00457,ST001,V00457,P0021,2026-08-31,3,0,3,2,6
ST001-V00458,ST001,V00458,P0021,2026-08-31,8,20,28,6,18
ST001-V00459,ST001,V00459,P0021,2026-08-31,3,10,13,4,12
ST001-V00460,ST001,V00460,P0021,2026-08-31,10,14,24,4,12
ST001-V00461,ST001,V00461,P0021,2026-08-31,11,0,11,4,12
ST001-V00464,ST001,V00464,P0021,2026-08-31,4,8,12,2,6
ST001-V00466,ST001,V00466,P0021,2026-08-31,7,2,9,4,12
ST001-V00468,ST001,V00468,P0021,2026-08-31,2,0,2,2,6
ST001-V00469,ST001,V00469,P0021,2026-08-31,4,0,4,4,12
ST001-V00471,ST001,V00471,P0021,2026-08-31,3,0,3,2,6
ST001-V00473,ST001,V00473,P0021,2026-08-31,5,0,5,2,6
ST001-V00474,ST001,V00474,P0021,2026-08-31,3,4,7,2,6
ST001-V00475,ST001,V00475,P0022,2026-08-31,5,5,10,3,9
ST001-V00477,ST001,V00477,P0022,2026-08-31,3,4,7,2,6
ST001-V00478,ST001,V00478,P0022,2026-08-31,0,6,6,3,9
ST001-V00480,ST001,V00480,P0022,2026-08-31,7,21,28,6,18
ST001-V00482,ST001,V00482,P0022,2026-08-31,5,0,5,6,18
ST001-V00484,ST001,V00484,P0022,2026-08-31,2,6,8,2,6
ST001-V00485,ST001,V00485,P0022,2026-08-31,5,7,12,3,9
ST001-V00486,ST001,V00486,P0022,2026-08-31,3,5,8,3,9
ST001-V00487,ST001,V00487,P0022,2026-08-31,2,2,4,2,6
ST001-V00488,ST001,V00488,P0022,2026-08-31,3,2,5,2,6
ST001-V00489,ST001,V00489,P0022,2026-08-31,9,5,14,4,12
ST001-V00491,ST001,V00491,P0022,2026-08-31,6,6,12,3,9
ST001-V00493,ST001,V00493,P0023,2026-08-31,15,11,26,6,18
ST001-V00495,ST001,V00495,P0023,2026-08-31,8,5,13,3,9
ST001-V00497,ST001,V00497,P0023,2026-08-31,8,5,13,3,9
ST001-V00498,ST001,V00498,P0023,2026-08-31,1,7,8,3,9
ST001-V00501,ST001,V00501,P0023,2026-08-31,3,3,6,2,6
ST001-V00502,ST001,V00502,P0023,2026-08-31,7,0,7,3,9
ST001-V00503,ST001,V00503,P0023,2026-08-31,3,0,3,2,6
ST001-V00504,ST001,V00504,P0023,2026-08-31,10,3,13,3,9
ST001-V00507,ST001,V00507,P0023,2026-08-31,9,9,18,3,9
ST001-V00511,ST001,V00511,P0024,2026-08-31,5,0,5,2,6
ST001-V00513,ST001,V00513,P0024,2026-08-31,9,5,14,4,12
ST001-V00517,ST001,V00517,P0024,2026-08-31,7,7,14,3,9
ST001-V00518,ST001,V00518,P0024,2026-08-31,3,6,9,2,6
ST001-V00519,ST001,V00519,P0024,2026-08-31,7,3,10,2,6
ST001-V00522,ST001,V00522,P0024,2026-08-31,7,0,7,2,6
ST001-V00528,ST001,V00528,P0024,2026-08-31,5,8,13,3,9
ST001-V00530,ST001,V00530,P0025,2026-08-31,5,1,6,2,6
ST001-V00535,ST001,V00535,P0025,2026-08-31,6,6,12,4,12
ST001-V00536,ST001,V00536,P0025,2026-08-31,11,12,23,4,12
ST001-V00538,ST001,V00538,P0025,2026-08-31,10,3,13,3,9
ST001-V00539,ST001,V00539,P0025,2026-08-31,3,5,8,2,6
ST001-V00540,ST001,V00540,P0025,2026-08-31,3,0,3,2,6
ST001-V00541,ST001,V00541,P0025,2026-08-31,5,4,9,2,6
ST001-V00542,ST001,V00542,P0025,2026-08-31,3,5,8,2,6
ST001-V00543,ST001,V00543,P0025,2026-08-31,4,1,5,2,6
ST001-V00544,ST001,V00544,P0025,2026-08-31,2,3,5,2,6
ST001-V00546,ST001,V00546,P0025,2026-08-31,9,6,15,3,9
ST001-V00548,ST001,V00548,P0026,2026-08-31,6,5,11,3,9
ST001-V00550,ST001,V00550,P0026,2026-08-31,4,2,6,2,6
ST001-V00554,ST001,V00554,P0026,2026-08-31,6,0,6,3,9
ST001-V00555,ST001,V00555,P0026,2026-08-31,5,4,9,4,12
ST001-V00556,ST001,V00556,P0026,2026-08-31,4,1,5,2,6
ST001-V00558,ST001,V00558,P0026,2026-08-31,3,3,6,3,9
ST001-V00560,ST001,V00560,P0026,2026-08-31,5,2,7,4,12
ST001-V00562,ST001,V00562,P0026,2026-08-31,5,5,10,3,9
ST001-V00564,ST001,V00564,P0026,2026-08-31,8,1,9,3,9
ST001-V00565,ST001,V00565,P0027,2026-08-31,15,9,24,4,12
ST001-V00566,ST001,V00566,P0027,2026-08-31,8,8,16,6,18
ST001-V00567,ST001,V00567,P0027,2026-08-31,7,1,8,2,6
ST001-V00570,ST001,V00570,P0027,2026-08-31,4,4,8,2,6
ST001-V00571,ST001,V00571,P0027,2026-08-31,10,0,10,4,12
ST001-V00572,ST001,V00572,P0027,2026-08-31,5,0,5,3,9
ST001-V00573,ST001,V00573,P0027,2026-08-31,4,3,7,2,6
ST001-V00574,ST001,V00574,P0027,2026-08-31,1,1,2,3,9
ST001-V00581,ST001,V00581,P0027,2026-08-31,17,7,24,6,18
ST001-V00582,ST001,V00582,P0027,2026-08-31,6,11,17,3,9
ST001-V00583,ST001,V00583,P0028,2026-08-31,8,8,16,4,12
ST001-V00584,ST001,V00584,P0028,2026-08-31,6,9,15,4,12
ST001-V00586,ST001,V00586,P0028,2026-08-31,4,10,14,3,9
ST001-V00589,ST001,V00589,P0028,2026-08-31,8,0,8,4,12
ST001-V00591,ST001,V00591,P0028,2026-08-31,1,0,1,3,9
ST001-V00592,ST001,V00592,P0028,2026-08-31,2,0,2,3,9
ST001-V00601,ST001,V00601,P0029,2026-08-31,2,0,2,2,6
ST001-V00603,ST001,V00603,P0029,2026-08-31,12,9,21,4,12
ST001-V00604,ST001,V00604,P0029,2026-08-31,2,5,7,2,6
ST001-V00605,ST001,V00605,P0029,2026-08-31,6,2,8,2,6
ST001-V00606,ST001,V00606,P0029,2026-08-31,6,1,7,2,6
ST001-V00607,ST001,V00607,P0029,2026-08-31,0,3,3,3,9
ST001-V00608,ST001,V00608,P0029,2026-08-31,7,0,7,3,9
ST001-V00609,ST001,V00609,P0029,2026-08-31,5,3,8,3,9
ST001-V00610,ST001,V00610,P0029,2026-08-31,5,3,8,2,6
ST001-V00611,ST001,V00611,P0029,2026-08-31,4,3,7,2,6
ST001-V00614,ST001,V00614,P0029,2026-08-31,6,6,12,3,9
ST001-V00615,ST001,V00615,P0029,2026-08-31,7,6,13,3,9
ST001-V00616,ST001,V00616,P0029,2026-08-31,6,2,8,2,6
ST001-V00617,ST001,V00617,P0029,2026-08-31,4,6,10,3,9
ST001-V00618,ST001,V00618,P0029,2026-08-31,2,5,7,2,6
ST001-V00619,ST001,V00619,P0030,2026-08-31,4,8,12,3,9
ST001-V00620,ST001,V00620,P0030,2026-08-31,7,11,18,3,9
ST001-V00621,ST001,V00621,P0030,2026-08-31,10,10,20,6,18
ST001-V00622,ST001,V00622,P0030,2026-08-31,13,6,19,4,12
ST001-V00625,ST001,V00625,P0030,2026-08-31,4,3,7,2,6
ST001-V00628,ST001,V00628,P0030,2026-08-31,6,2,8,6,18
ST001-V00629,ST001,V00629,P0030,2026-08-31,9,5,14,4,12
ST001-V00632,ST001,V00632,P0030,2026-08-31,11,1,12,4,12
ST001-V00633,ST001,V00633,P0030,2026-08-31,4,6,10,4,12
ST001-V00634,ST001,V00634,P0030,2026-08-31,11,0,11,4,12
ST001-V00635,ST001,V00635,P0030,2026-08-31,9,3,12,3,9
ST001-V00637,ST001,V00637,P0031,2026-08-31,7,7,14,4,12
ST001-V00638,ST001,V00638,P0031,2026-08-31,2,7,9,4,12
ST001-V00641,ST001,V00641,P0031,2026-08-31,10,2,12,3,9
ST001-V00643,ST001,V00643,P0031,2026-08-31,7,2,9,2,6
ST001-V00646,ST001,V00646,P0031,2026-08-31,2,4,6,2,6
ST001-V00647,ST001,V00647,P0031,2026-08-31,1,0,1,2,6
ST001-V00648,ST001,V00648,P0031,2026-08-31,7,3,10,3,9
ST001-V00649,ST001,V00649,P0031,2026-08-31,9,2,11,3,9
ST001-V00650,ST001,V00650,P0031,2026-08-31,10,9,19,3,9
ST001-V00651,ST001,V00651,P0031,2026-08-31,3,2,5,2,6
ST001-V00653,ST001,V00653,P0031,2026-08-31,7,10,17,3,9
ST001-V00654,ST001,V00654,P0031,2026-08-31,4,5,9,2,6
ST001-V00655,ST001,V00655,P0032,2026-08-31,5,1,6,2,6
ST001-V00658,ST001,V00658,P0032,2026-08-31,10,2,12,3,9
ST001-V00661,ST001,V00661,P0032,2026-08-31,14,9,23,4,12
ST001-V00662,ST001,V00662,P0032,2026-08-31,7,8,15,3,9
