PurchaseOrderID,SupplierID,StoreID,PurchaseOrderDate,ExpectedDeliveryDate,DeliveredDate,POStatus,POTotalCost
PO000046,SUP04,ST013,2024-11-24,2025-01-18,2025-01-18,Received,711.12
PO000047,SUP06,ST013,2024-11-24,2025-01-11,2025-01-22,Received,276.45
PO000048,SUP05,ST016,2024-11-24,2024-12-28,2025-01-03,Received,144.04
PO000049,SUP04,ST001,2024-11-25,2025-01-19,2025-02-09,Received,346.19
PO000050,SUP06,ST016,2024-11-25,2025-01-12,2025-01-12,Received,371.88
PO000051,SUP07,ST900,2024-11-25,2025-01-03,2025-01-10,Partially received,1194.70
PO000052,SUP06,ST003,2024-11-26,2025-01-13,2025-01-13,Received,37.91
PO000053,SUP06,ST005,2024-11-26,2025-01-13,2025-01-13,Received,64.70
PO000054,SUP01,ST009,2024-11-26,2025-01-07,2025-01-07,Received,209.83
PO000055,SUP04,ST015,2024-11-26,2025-01-20,2025-01-20,Received,1556.99
PO000056,SUP01,ST017,2024-11-26,2025-01-07,2025-01-07,Received,24.49
PO000057,SUP07,ST017,2024-11-26,2025-01-04,2025-01-04,Received,169.80
PO000058,SUP01,ST018,2024-11-26,2025-01-07,2025-01-07,Received,351.39
PO000059,SUP04,ST005,2024-11-27,2025-01-21,2025-02-11,Received,360.82
PO000060,SUP04,ST006,2024-11-27,2025-01-21,2025-01-21,Received,233.72
PO000061,SUP06,ST009,2024-11-27,2025-01-14,2025-01-14,Received,343.49
PO000062,SUP07,ST012,2024-11-27,2025-01-05,2025-01-05,Received,195.33
PO000063,SUP01,ST016,2024-11-27,2025-01-08,2025-01-08,Received,152.00
PO000064,SUP07,ST007,2024-11-28,2025-01-06,2025-01-11,Received,32.91
PO000065,SUP04,ST017,2024-11-28,2025-01-22,2025-01-31,Received,401.15
PO000066,SUP07,ST001,2024-11-29,2025-01-07,2025-01-07,Received,761.60
PO000067,SUP04,ST003,2024-11-29,2025-01-23,2025-01-23,Received,128.94
PO000068,SUP05,ST004,2024-11-29,2025-01-02,2025-01-02,Received,102.71
PO000069,SUP06,ST011,2024-11-29,2025-01-16,2025-01-16,Received,872.15
PO000070,SUP01,ST002,2024-11-30,2025-01-11,2025-01-11,Received,1249.83
PO000071,SUP07,ST005,2024-11-30,2025-01-08,2025-01-16,Received,603.53
PO000072,SUP06,ST007,2024-11-30,2025-01-17,2025-01-17,Received,228.74
PO000073,SUP07,ST010,2024-11-30,2025-01-08,2025-01-08,Received,356.19
PO000074,SUP01,ST012,2024-11-30,2025-01-11,2025-01-11,Received,43.73
PO000075,SUP07,ST013,2024-11-30,2025-01-08,2025-01-08,Received,344.84
PO000076,SUP07,ST014,2024-11-30,2025-01-08,2025-01-08,Received,381.99
PO000077,SUP06,ST017,2024-11-30,2025-01-17,2025-01-17,Received,276.38
PO000078,SUP05,ST900,2024-11-30,2025-01-03,2025-01-03,Partially received,2008.93
PO000079,SUP07,ST009,2024-12-01,2025-01-09,2025-01-09,Received,316.37
PO000080,SUP07,ST011,2024-12-01,2025-01-09,2025-01-16,Received,905.44
PO000081,SUP06,ST001,2024-12-02,2025-01-19,2025-01-31,Received,1473.02
PO000082,SUP06,ST006,2024-12-02,2025-01-19,2025-01-19,Received,117.50
PO000083,SUP05,ST007,2024-12-02,2025-01-05,2025-01-05,Received,40.99
PO000084,SUP04,ST009,2024-12-02,2025-01-26,2025-02-05,Received,1828.57
PO000085,SUP01,ST013,2024-12-02,2025-01-13,2025-01-21,Received,358.69
PO000086,SUP07,ST002,2024-12-03,2025-01-11,2025-01-11,Received,511.09
PO000087,SUP07,ST003,2024-12-03,2025-01-11,2025-01-11,Received,292.98
PO000088,SUP01,ST005,2024-12-03,2025-01-14,2025-01-14,Received,326.90
PO000089,SUP04,ST012,2024-12-03,2025-01-27,2025-02-07,Received,1192.33
PO000090,SUP01,ST014,2024-12-03,2025-01-14,2025-01-14,Received,82.32
PO000091,SUP06,ST014,2024-12-03,2025-01-20,2025-01-20,Received,114.19
PO000092,SUP07,ST015,2024-12-03,2025-01-11,2025-01-11,Received,63.21
PO000093,SUP06,ST004,2024-12-04,2025-01-21,2025-01-25,Received,597.35
PO000094,SUP01,ST006,2024-12-04,2025-01-15,2025-01-15,Received,202.90
PO000095,SUP04,ST008,2024-12-04,2025-01-28,2025-02-13,Received,1229.15
PO000096,SUP04,ST010,2024-12-04,2025-01-28,2025-01-28,Received,440.50
PO000097,SUP01,ST011,2024-12-04,2025-01-15,2025-01-15,Received,1413.39
PO000098,SUP04,ST011,2024-12-04,2025-01-28,2025-02-17,Received,627.05
PO000099,SUP06,ST015,2024-12-04,2025-01-21,2025-01-28,Received,507.99
PO000100,SUP04,ST018,2024-12-04,2025-01-28,2025-02-13,Received,66.10
PO000101,SUP06,ST900,2024-12-04,2025-01-21,2025-01-21,Received,1563.35
PO000102,SUP01,ST001,2024-12-05,2025-01-16,2025-01-22,Received,1787.45
PO000103,SUP01,ST004,2024-12-05,2025-01-16,2025-01-24,Received,1630.89
PO000104,SUP04,ST004,2024-12-05,2025-01-29,2025-02-12,Received,4428.81
PO000105,SUP05,ST005,2024-12-05,2025-01-08,2025-01-08,Received,134.92
PO000106,SUP02,ST010,2024-12-05,2025-01-02,2025-01-02,Received,49.13
PO000107,SUP05,ST014,2024-12-05,2025-01-08,2025-01-08,Received,248.60
PO000108,SUP06,ST018,2024-12-05,2025-01-22,2025-01-22,Received,240.88
PO000109,SUP02,ST001,2024-12-06,2025-01-03,2025-01-03,Received,57.40
PO000110,SUP05,ST002,2024-12-06,2025-01-09,2025-01-09,Received,232.00
PO000111,SUP07,ST004,2024-12-06,2025-01-14,2025-01-14,Received,680.31
PO000112,SUP05,ST006,2024-12-06,2025-01-09,2025-01-09,Received,290.90
PO000113,SUP01,ST008,2024-12-06,2025-01-17,2025-01-25,Received,267.97
PO000114,SUP07,ST008,2024-12-06,2025-01-14,2025-01-19,Received,328.26
PO000115,SUP01,ST010,2024-12-06,2025-01-17,2025-01-17,Received,218.99
PO000116,SUP02,ST012,2024-12-06,2025-01-03,2025-01-03,Received,175.80
PO000117,SUP04,ST014,2024-12-06,2025-01-30,2025-02-16,Received,68.37
PO000118,SUP01,ST015,2024-12-06,2025-01-17,2025-01-17,Received,546.99
PO000119,SUP07,ST016,2024-12-06,2025-01-14,2025-01-20,Received,462.84
PO000120,SUP05,ST017,2024-12-06,2025-01-09,2025-01-09,Received,84.60
PO000121,SUP07,ST018,2024-12-06,2025-01-14,2025-01-14,Received,116.94
PO000122,SUP04,ST900,2024-12-06,2025-01-30,2025-01-30,Partially received,1432.62
PO000123,SUP05,ST001,2024-12-07,2025-01-10,2025-01-10,Received,181.26
PO000124,SUP06,ST002,2024-12-07,2025-01-24,2025-01-24,Received,288.85
PO000125,SUP07,ST006,2024-12-07,2025-01-15,2025-01-15,Received,478.38
PO000126,SUP06,ST008,2024-12-07,2025-01-24,2025-01-24,Received,300.65
PO000127,SUP01,ST900,2024-12-07,2025-01-18,2025-01-18,Partially received,1519.31
PO000128,SUP01,ST003,2024-12-08,2025-01-19,2025-01-25,Received,323.99
PO000129,SUP06,ST010,2024-12-08,2025-01-25,2025-01-31,Received,402.61
PO000130,SUP06,ST012,2024-12-08,2025-01-25,2025-02-01,Received,540.97
PO000131,SUP04,ST013,2024-12-08,2025-02-01,2025-02-01,Received,1535.14
PO000132,SUP06,ST013,2024-12-08,2025-01-25,2025-01-30,Received,140.98
PO000133,SUP05,ST016,2024-12-08,2025-01-11,2025-01-11,Received,519.11
PO000134,SUP02,ST900,2024-12-08,2025-01-05,2025-01-05,Received,951.25
PO000135,SUP04,ST001,2024-12-09,2025-02-02,2025-02-02,Received,2711.87
PO000136,SUP02,ST004,2024-12-09,2025-01-06,2025-01-06,Received,79.00
PO000137,SUP02,ST005,2024-12-09,2025-01-06,2025-01-06,Received,224.93
PO000138,SUP02,ST006,2024-12-09,2025-01-06,2025-01-06,Received,352.68
PO000139,SUP05,ST008,2024-12-09,2025-01-12,2025-01-12,Received,533.54
PO000140,SUP06,ST016,2024-12-09,2025-01-26,2025-01-26,Received,217.72
PO000141,SUP07,ST900,2024-12-09,2025-01-17,2025-01-25,Received,1194.70
PO000142,SUP04,ST002,2024-12-10,2025-02-03,2025-02-03,Received,1213.37
PO000143,SUP06,ST003,2024-12-10,2025-01-27,2025-01-27,Received,362.18
PO000144,SUP06,ST005,2024-12-10,2025-01-27,2025-02-06,Received,658.87
PO000145,SUP01,ST009,2024-12-10,2025-01-21,2025-01-21,Received,145.07
PO000146,SUP05,ST012,2024-12-10,2025-01-13,2025-01-13,Received,1113.95
PO000147,SUP04,ST015,2024-12-10,2025-02-03,2025-02-03,Received,1457.05
PO000148,SUP04,ST016,2024-12-10,2025-02-03,2025-02-21,Received,96.98
PO000149,SUP01,ST017,2024-12-10,2025-01-21,2025-01-21,Received,386.54
PO000150,SUP07,ST017,2024-12-10,2025-01-18,2025-01-18,Received,167.70
PO000151,SUP01,ST018,2024-12-10,2025-01-21,2025-01-21,Received,412.49
PO000152,SUP05,ST003,2024-12-11,2025-01-14,2025-01-16,Received,332.23
PO000153,SUP04,ST005,2024-12-11,2025-02-04,2025-02-04,Received,1281.61
PO000154,SUP04,ST006,2024-12-11,2025-02-04,2025-02-18,Received,3184.98
PO000155,SUP01,ST007,2024-12-11,2025-01-22,2025-01-22,Received,211.66
PO000156,SUP02,ST008,2024-12-11,2025-01-08,2025-01-08,Received,162.43
PO000157,SUP06,ST009,2024-12-11,2025-01-28,2025-01-28,Received,106.45
PO000158,SUP05,ST011,2024-12-11,2025-01-14,2025-01-14,Received,1105.21
PO000159,SUP07,ST012,2024-12-11,2025-01-19,2025-01-19,Received,480.25
PO000160,SUP02,ST013,2024-12-11,2025-01-08,2025-01-08,Received,88.89
PO000161,SUP01,ST016,2024-12-11,2025-01-22,2025-01-22,Received,499.86
PO000162,SUP05,ST018,2024-12-11,2025-01-14,2025-01-14,Received,258.36
PO000163,SUP07,ST007,2024-12-12,2025-01-20,2025-01-28,Received,370.87
PO000164,SUP02,ST015,2024-12-12,2025-01-09,2025-01-09,Received,797.27
PO000165,SUP04,ST017,2024-12-12,2025-02-05,2025-02-05,Received,1199.47
PO000166,SUP07,ST001,2024-12-13,2025-01-21,2025-01-21,Received,1095.38
PO000167,SUP04,ST003,2024-12-13,2025-02-06,2025-02-06,Received,568.35
PO000168,SUP05,ST004,2024-12-13,2025-01-16,2025-01-16,Received,887.30
PO000169,SUP06,ST011,2024-12-13,2025-01-30,2025-01-30,Received,869.28
PO000170,SUP05,ST015,2024-12-13,2025-01-16,2025-01-16,Received,705.96
PO000171,SUP02,ST018,2024-12-13,2025-01-10,2025-01-10,Received,19.62
PO000172,SUP01,ST002,2024-12-14,2025-01-25,2025-01-29,Received,457.83
PO000173,SUP07,ST005,2024-12-14,2025-01-22,2025-01-22,Received,374.18
PO000174,SUP06,ST007,2024-12-14,2025-01-31,2025-01-31,Received,254.28
PO000175,SUP07,ST010,2024-12-14,2025-01-22,2025-01-22,Received,359.19
PO000176,SUP02,ST011,2024-12-14,2025-01-11,2025-01-11,Received,77.02
PO000177,SUP01,ST012,2024-12-14,2025-01-25,2025-01-29,Received,531.99
PO000178,SUP07,ST013,2024-12-14,2025-01-22,2025-01-22,Received,477.90
PO000179,SUP07,ST014,2024-12-14,2025-01-22,2025-01-22,Received,104.49
PO000180,SUP06,ST017,2024-12-14,2025-01-31,2025-02-07,Received,1102.20
PO000181,SUP05,ST900,2024-12-14,2025-01-17,2025-01-17,Received,2008.93
PO000182,SUP05,ST009,2024-12-15,2025-01-18,2025-01-23,Received,607.08
PO000183,SUP07,ST009,2024-12-15,2025-01-23,2025-01-23,Received,317.30
PO000184,SUP07,ST011,2024-12-15,2025-01-23,2025-01-23,Received,167.70
PO000185,SUP06,ST001,2024-12-16,2025-02-02,2025-02-02,Received,1097.83
PO000186,SUP06,ST006,2024-12-16,2025-02-02,2025-02-02,Received,956.37
PO000187,SUP05,ST007,2024-12-16,2025-01-19,2025-01-19,Received,196.36
PO000188,SUP04,ST009,2024-12-16,2025-02-09,2025-02-09,Received,68.37
PO000189,SUP05,ST010,2024-12-16,2025-01-19,2025-01-19,Received,549.19
PO000190,SUP01,ST013,2024-12-16,2025-01-27,2025-01-27,Received,159.17
PO000191,SUP02,ST017,2024-12-16,2025-01-13,2025-01-13,Received,775.32
PO000192,SUP07,ST002,2024-12-17,2025-01-25,2025-01-25,Received,562.31
PO000193,SUP07,ST003,2024-12-17,2025-01-25,2025-01-25,Received,407.41
PO000194,SUP01,ST005,2024-12-17,2025-01-28,2025-01-28,Received,129.34
PO000195,SUP04,ST007,2024-12-17,2025-02-10,2025-02-10,Received,3227.79
PO000196,SUP02,ST009,2024-12-17,2025-01-14,2025-01-14,Received,233.74
PO000197,SUP04,ST012,2024-12-17,2025-02-10,2025-03-02,Received,2552.20
PO000198,SUP01,ST014,2024-12-17,2025-01-28,2025-01-28,Received,253.56
PO000199,SUP06,ST014,2024-12-17,2025-02-03,2025-02-03,Received,839.04
PO000200,SUP07,ST015,2024-12-17,2025-01-25,2025-01-25,Received,624.99
PO000201,SUP02,ST002,2024-12-18,2025-01-15,2025-01-15,Received,204.20
PO000202,SUP06,ST004,2024-12-18,2025-02-04,2025-02-04,Received,1588.95
PO000203,SUP01,ST006,2024-12-18,2025-01-29,2025-01-29,Received,569.50
PO000204,SUP04,ST008,2024-12-18,2025-02-11,2025-02-25,Received,277.65
PO000205,SUP04,ST010,2024-12-18,2025-02-11,2025-02-11,Received,68.37
PO000206,SUP01,ST011,2024-12-18,2025-01-29,2025-01-29,Received,1095.27
PO000207,SUP04,ST011,2024-12-18,2025-02-11,2025-02-11,Received,2884.39
PO000208,SUP02,ST014,2024-12-18,2025-01-15,2025-01-15,Received,775.14
PO000209,SUP06,ST015,2024-12-18,2025-02-04,2025-02-16,Received,1515.36
PO000210,SUP03,ST016,2024-12-18,2025-01-03,2025-01-03,Received,112.21
PO000211,SUP04,ST018,2024-12-18,2025-02-11,2025-02-11,Received,2180.60
PO000212,SUP06,ST900,2024-12-18,2025-02-04,2025-02-04,Partially received,1563.35
PO000213,SUP01,ST001,2024-12-19,2025-01-30,2025-01-30,Received,568.40
PO000214,SUP02,ST003,2024-12-19,2025-01-16,2025-01-16,Received,215.56
PO000215,SUP03,ST003,2024-12-19,2025-01-04,2025-01-04,Received,73.16
PO000216,SUP01,ST004,2024-12-19,2025-01-30,2025-01-30,Received,610.65
PO000217,SUP05,ST005,2024-12-19,2025-01-22,2025-01-22,Received,184.75
PO000218,SUP02,ST010,2024-12-19,2025-01-16,2025-01-16,Received,72.41
PO000219,SUP05,ST013,2024-12-19,2025-01-22,2025-01-22,Received,337.88
PO000220,SUP05,ST014,2024-12-19,2025-01-22,2025-01-24,Received,615.23
PO000221,SUP06,ST018,2024-12-19,2025-02-05,2025-02-05,Received,833.72
PO000222,SUP02,ST001,2024-12-20,2025-01-17,2025-01-17,Received,762.16
PO000223,SUP05,ST002,2024-12-20,2025-01-23,2025-01-23,Received,216.69
PO000224,SUP07,ST004,2024-12-20,2025-01-28,2025-02-01,Received,1348.59
PO000225,SUP05,ST006,2024-12-20,2025-01-23,2025-01-23,Received,728.29
PO000226,SUP07,ST008,2024-12-20,2025-01-28,2025-01-28,Received,265.05
PO000227,SUP01,ST010,2024-12-20,2025-01-31,2025-01-31,Received,508.29
PO000228,SUP02,ST012,2024-12-20,2025-01-17,2025-01-17,Received,336.61
PO000229,SUP04,ST014,2024-12-20,2025-02-13,2025-02-13,Received,1380.01
PO000230,SUP01,ST015,2024-12-20,2025-01-31,2025-01-31,Received,1329.92
PO000231,SUP03,ST015,2024-12-20,2025-01-05,2025-01-05,Received,149.44
PO000232,SUP07,ST016,2024-12-20,2025-01-28,2025-01-28,Received,202.71
PO000233,SUP05,ST017,2024-12-20,2025-01-23,2025-01-23,Received,154.06
PO000234,SUP07,ST018,2024-12-20,2025-01-28,2025-01-28,Received,614.91
PO000235,SUP04,ST900,2024-12-20,2025-02-13,2025-02-27,Partially received,1432.62
PO000236,SUP05,ST001,2024-12-21,2025-01-24,2025-01-24,Received,609.87
PO000237,SUP06,ST002,2024-12-21,2025-02-07,2025-02-07,Received,1040.24
PO000238,SUP07,ST006,2024-12-21,2025-01-29,2025-02-02,Received,1766.95
PO000239,SUP02,ST007,2024-12-21,2025-01-18,2025-01-21,Received,738.36
PO000240,SUP06,ST008,2024-12-21,2025-02-07,2025-02-07,Received,987.56
PO000241,SUP03,ST014,2024-12-21,2025-01-06,2025-01-06,Received,87.04
PO000242,SUP01,ST900,2024-12-21,2025-02-01,2025-02-01,Received,1519.31
PO000243,SUP01,ST003,2024-12-22,2025-02-02,2025-02-02,Received,1062.37
PO000244,SUP06,ST010,2024-12-22,2025-02-08,2025-02-08,Received,584.67
PO000245,SUP06,ST012,2024-12-22,2025-02-08,2025-02-08,Received,48.96
PO000246,SUP04,ST013,2024-12-22,2025-02-15,2025-03-06,Received,135.51
PO000247,SUP06,ST013,2024-12-22,2025-02-08,2025-02-08,Received,602.43
PO000248,SUP02,ST016,2024-12-22,2025-01-19,2025-01-19,Received,470.57
PO000249,SUP05,ST016,2024-12-22,2025-01-25,2025-01-25,Received,501.88
PO000250,SUP02,ST900,2024-12-22,2025-01-19,2025-01-19,Received,951.25
PO000251,SUP04,ST001,2024-12-23,2025-02-16,2025-03-07,Received,583.69
PO000252,SUP02,ST004,2024-12-23,2025-01-20,2025-01-20,Received,314.45
PO000253,SUP02,ST005,2024-12-23,2025-01-20,2025-01-20,Received,274.06
PO000254,SUP02,ST006,2024-12-23,2025-01-20,2025-01-20,Received,597.88
PO000255,SUP05,ST008,2024-12-23,2025-01-26,2025-02-01,Received,763.66
PO000256,SUP03,ST011,2024-12-23,2025-01-08,2025-01-08,Received,662.04
PO000257,SUP06,ST016,2024-12-23,2025-02-09,2025-02-17,Received,1037.91
PO000258,SUP03,ST017,2024-12-23,2025-01-08,2025-01-08,Received,175.85
PO000259,SUP03,ST900,2024-12-23,2025-01-08,2025-01-08,Received,1930.55
PO000260,SUP07,ST900,2024-12-23,2025-01-31,2025-01-31,Partially received,1194.70
PO000261,SUP04,ST002,2024-12-24,2025-02-17,2025-02-17,Received,528.44
PO000262,SUP06,ST003,2024-12-24,2025-02-10,2025-02-10,Received,1549.02
PO000263,SUP06,ST005,2024-12-24,2025-02-10,2025-02-17,Received,48.96
PO000264,SUP01,ST009,2024-12-24,2025-02-04,2025-02-04,Received,805.56
PO000265,SUP05,ST012,2024-12-24,2025-01-27,2025-01-27,Received,223.56
PO000266,SUP04,ST015,2024-12-24,2025-02-17,2025-02-17,Received,651.44
PO000267,SUP04,ST016,2024-12-24,2025-02-17,2025-02-17,Received,1790.47
PO000268,SUP01,ST017,2024-12-24,2025-02-04,2025-02-04,Received,482.32
PO000269,SUP07,ST017,2024-12-24,2025-02-01,2025-02-01,Received,747.12
PO000270,SUP01,ST018,2024-12-24,2025-02-04,2025-02-04,Received,1027.53
PO000271,SUP03,ST001,2024-12-25,2025-01-10,2025-01-10,Received,244.88
PO000272,SUP05,ST003,2024-12-25,2025-01-28,2025-01-28,Received,175.70
PO000273,SUP04,ST005,2024-12-25,2025-02-18,2025-03-01,Received,1032.79
PO000274,SUP01,ST007,2024-12-25,2025-02-05,2025-02-05,Received,1265.75
PO000275,SUP03,ST007,2024-12-25,2025-01-10,2025-01-10,Received,56.39
PO000276,SUP02,ST008,2024-12-25,2025-01-22,2025-01-22,Received,611.22
PO000277,SUP06,ST009,2024-12-25,2025-02-11,2025-02-11,Received,772.81
PO000278,SUP05,ST011,2024-12-25,2025-01-28,2025-01-28,Received,1121.54
PO000279,SUP07,ST012,2024-12-25,2025-02-02,2025-02-02,Received,1096.79
PO000280,SUP02,ST013,2024-12-25,2025-01-22,2025-01-22,Received,113.30
PO000281,SUP01,ST016,2024-12-25,2025-02-05,2025-02-05,Received,1424.83
PO000282,SUP05,ST018,2024-12-25,2025-01-28,2025-01-28,Received,187.52
PO000283,SUP03,ST006,2024-12-26,2025-01-11,2025-01-11,Received,481.44
PO000284,SUP07,ST007,2024-12-26,2025-02-03,2025-02-07,Received,1429.82
PO000285,SUP02,ST015,2024-12-26,2025-01-23,2025-01-23,Received,317.84
PO000286,SUP04,ST017,2024-12-26,2025-02-19,2025-03-04,Received,2507.47
PO000287,SUP07,ST001,2024-12-27,2025-02-04,2025-02-04,Received,1476.48
PO000288,SUP04,ST003,2024-12-27,2025-02-20,2025-03-06,Received,2007.89
PO000289,SUP03,ST004,2024-12-27,2025-01-12,2025-01-12,Received,605.94
PO000290,SUP05,ST004,2024-12-27,2025-01-30,2025-01-30,Received,910.34
PO000291,SUP06,ST011,2024-12-27,2025-02-13,2025-02-13,Received,769.26
PO000292,SUP03,ST012,2024-12-27,2025-01-12,2025-01-12,Received,50.46
PO000293,SUP05,ST015,2024-12-27,2025-01-30,2025-01-30,Received,1490.36
PO000294,SUP02,ST018,2024-12-27,2025-01-24,2025-01-24,Received,338.23
PO000295,SUP01,ST002,2024-12-28,2025-02-08,2025-02-08,Received,741.60
PO000296,SUP07,ST005,2024-12-28,2025-02-05,2025-02-05,Received,651.36
PO000297,SUP06,ST007,2024-12-28,2025-02-14,2025-02-19,Received,1178.91
PO000298,SUP03,ST008,2024-12-28,2025-01-13,2025-01-13,Received,554.59
PO000299,SUP03,ST010,2024-12-28,2025-01-13,2025-01-13,Received,200.47
PO000300,SUP07,ST010,2024-12-28,2025-02-05,2025-02-05,Received,988.99
PO000301,SUP02,ST011,2024-12-28,2025-01-25,2025-01-25,Received,848.85
PO000302,SUP01,ST012,2024-12-28,2025-02-08,2025-02-08,Received,444.55
PO000303,SUP07,ST013,2024-12-28,2025-02-05,2025-02-11,Received,1126.80
PO000304,SUP07,ST014,2024-12-28,2025-02-05,2025-02-05,Received,835.06
PO000305,SUP06,ST017,2024-12-28,2025-02-14,2025-02-22,Received,126.23
PO000306,SUP03,ST018,2024-12-28,2025-01-13,2025-01-13,Received,454.52
PO000307,SUP05,ST900,2024-12-28,2025-01-31,2025-01-31,Partially received,2008.93
PO000308,SUP05,ST009,2024-12-29,2025-02-01,2025-02-05,Received,808.48
PO000309,SUP07,ST009,2024-12-29,2025-02-06,2025-02-16,Received,1315.12
PO000310,SUP07,ST011,2024-12-29,2025-02-06,2025-02-06,Received,1057.59
PO000311,SUP06,ST001,2024-12-30,2025-02-16,2025-02-20,Received,620.83
PO000312,SUP06,ST006,2024-12-30,2025-02-16,2025-02-16,Received,240.42
PO000313,SUP05,ST007,2024-12-30,2025-02-02,2025-02-02,Received,1644.58
PO000314,SUP03,ST009,2024-12-30,2025-01-15,2025-01-15,Received,417.87
PO000315,SUP04,ST009,2024-12-30,2025-02-23,2025-03-08,Received,1849.61
PO000316,SUP05,ST010,2024-12-30,2025-02-02,2025-02-02,Received,1501.71
PO000317,SUP01,ST013,2024-12-30,2025-02-10,2025-02-13,Received,1122.56
PO000318,SUP02,ST017,2024-12-30,2025-01-27,2025-01-27,Received,307.10
PO000319,SUP07,ST002,2024-12-31,2025-02-08,2025-02-08,Received,657.85
PO000320,SUP07,ST003,2024-12-31,2025-02-08,2025-02-13,Received,767.25
PO000321,SUP01,ST005,2024-12-31,2025-02-11,2025-02-11,Received,299.12
PO000322,SUP04,ST007,2024-12-31,2025-02-24,2025-02-24,Received,317.58
PO000323,SUP02,ST009,2024-12-31,2025-01-28,2025-01-28,Received,170.70
PO000324,SUP04,ST012,2024-12-31,2025-02-24,2025-03-13,Received,68.37
PO000325,SUP01,ST014,2024-12-31,2025-02-11,2025-02-11,Received,1128.39
PO000326,SUP06,ST014,2024-12-31,2025-02-17,2025-02-17,Received,532.44
PO000327,SUP07,ST015,2024-12-31,2025-02-08,2025-02-08,Received,596.66
