ReturnID,OrderID,OrderLineNumber,VariantID,ProductID,ReturnDate,ReturnStoreID,QuantityReturned,ReturnAmount,ReturnStatus,ReturnReasonID,RestockFlag
RT000020,SO000113,4,V00099,P0005,2025-01-12,ST011,1,133.95,Accepted,RR7,true
RT000021,SO000116,1,V00713,P0037,2025-01-19,ST002,1,228.95,Accepted,RR3,true
RT000022,SO000116,2,V00713,P0037,2025-01-23,ST013,1,160.27,Accepted,RR1,true
RT000023,SO000117,1,V00647,P0031,2025-02-07,ST014,1,75.95,Accepted,RR3,true
RT000024,SO000120,1,V00150,P0007,2025-02-04,ST015,1,126.95,Accepted,RR2,true
RT000025,SO000122,1,V00175,P0008,2025-02-04,ST015,1,95.16,Rejected,RR8,false
RT000026,SO000126,3,V00260,P0011,2025-02-01,ST017,1,157.95,Accepted,RR3,true
RT000027,SO000127,1,V00184,P0008,2025-01-11,ST018,1,95.17,Pending,RR2,false
RT000028,SO000129,2,V00200,P0009,2025-01-20,ST018,1,95.96,Accepted,RR1,true
RT000029,SO000132,3,V00195,P0009,2025-01-14,ST003,1,83.97,Accepted,RR5,true
RT000030,SO000137,1,V00610,P0029,2025-01-15,ST001,1,108.76,Accepted,RR4,false
RT000031,SO000140,3,V00458,P0021,2025-01-20,ST002,1,209.21,Accepted,RR4,false
RT000032,SO000153,1,V00744,P0052,2025-01-08,ST008,2,197.92,Accepted,RR7,true
RT000033,SO000153,2,V00220,P0010,2025-01-22,ST008,1,87.16,Accepted,RR6,true
RT000034,SO000153,3,V00610,P0029,2025-01-08,ST008,1,135.95,Accepted,RR7,true
RT000035,SO000160,2,V00726,P0043,2025-02-02,ST010,1,111.16,Accepted,RR8,true
RT000036,SO000162,1,V00649,P0031,2025-01-16,ST011,1,75.95,Accepted,RR8,true
RT000037,SO000166,1,V00307,P0013,2025-01-30,ST012,1,175.95,Accepted,RR6,true
RT000038,SO000170,2,V00415,P0018,2025-01-14,ST014,1,180.95,Accepted,RR5,true
RT000039,SO000173,1,V00452,P0020,2025-01-21,ST015,1,362.06,Accepted,RR4,false
RT000040,SO000192,5,V00515,P0024,2025-01-23,ST004,1,98.36,Accepted,RR1,true
RT000041,SO000198,1,V00294,P0013,2025-01-18,ST011,1,123.16,Rejected,RR1,false
RT000042,SO000200,3,V00671,P0032,2025-02-17,ST010,1,31.96,Accepted,RR3,true
RT000043,SO000202,1,V00592,P0028,2025-01-16,ST013,1,70.46,Accepted,RR7,true
RT000044,SO000202,2,V00539,P0025,2025-01-15,ST013,1,67.17,Accepted,RR4,false
RT000045,SO000210,1,V00202,P0009,2025-01-19,ST009,1,119.95,Accepted,RR3,true
RT000046,SO000211,2,V00663,P0032,2025-01-18,ST009,1,39.95,Pending,RR1,false
RT000047,SO000213,2,V00656,P0032,2025-02-09,ST014,1,29.96,Pending,RR1,false
RT000048,SO000213,3,V00586,P0028,2025-01-19,ST009,1,65.76,Accepted,RR8,true
RT000049,SO000218,1,V00441,P0020,2025-01-19,ST004,1,425.95,Accepted,RR7,true
RT000050,SO000219,4,V00488,P0022,2025-01-24,ST005,1,351.96,Accepted,RR1,true
RT000051,SO000227,2,V00124,P0006,2025-01-23,ST012,1,162.95,Accepted,RR2,true
RT000052,SO000230,1,V00639,P0031,2025-02-08,ST015,1,56.96,Accepted,RR1,true
RT000053,SO000232,2,V00627,P0030,2025-01-23,ST011,1,113.86,Accepted,RR2,true
RT000054,SO000232,4,V00022,P0001,2025-01-18,ST016,1,203.96,Accepted,RR7,true
RT000055,SO000236,3,V00598,P0028,2025-01-09,ST017,1,75.16,Accepted,RR1,true
RT000056,SO000236,4,V00625,P0030,2025-02-03,ST009,1,107.16,Rejected,RR7,false
RT000057,SO000238,1,V00358,P0015,2025-01-21,ST016,1,153.97,Accepted,RR6,true
RT000058,SO000239,2,V00127,P0006,2025-01-10,ST013,1,162.95,Accepted,RR2,true
RT000059,SO000241,1,V00558,P0026,2025-02-24,ST001,1,42.36,Rejected,RR3,false
RT000060,SO000242,1,V00114,P0005,2025-02-03,ST001,1,93.76,Accepted,RR7,true
RT000061,SO000243,3,V00080,P0004,2025-02-04,ST013,1,192.76,Accepted,RR7,true
RT000062,SO000257,2,V00139,P0006,2025-01-27,ST014,1,162.95,Accepted,RR7,true
RT000063,SO000260,1,V00126,P0006,2025-02-02,ST018,1,162.95,Pending,RR5,false
RT000064,SO000265,2,V00710,P0035,2025-01-16,ST007,1,192.95,Rejected,RR3,false
RT000065,SO000267,1,V00284,P0012,2025-02-26,ST001,1,81.87,Accepted,RR4,false
RT000066,SO000272,1,V00548,P0026,2025-01-16,ST006,1,39.71,Accepted,RR3,true
RT000067,SO000285,4,V00366,P0016,2025-02-09,ST016,1,218.95,Accepted,RR8,true
RT000068,SO000286,1,V00089,P0004,2025-02-19,ST017,1,168.67,Accepted,RR3,true
RT000069,SO000288,2,V00519,P0024,2025-01-12,ST005,1,122.95,Accepted,RR7,true
RT000070,SO000295,1,V00441,P0020,2025-01-21,ST003,1,425.95,Accepted,RR2,true
RT000071,SO000301,1,V00258,P0011,2025-01-14,ST008,1,157.95,Accepted,RR6,true
RT000072,SO000310,2,V00267,P0012,2025-02-13,ST017,1,116.95,Accepted,RR8,true
RT000073,SO000310,3,V00550,P0026,2025-01-21,ST017,1,52.95,Accepted,RR8,true
RT000074,SO000312,1,V00080,P0004,2025-01-18,ST014,1,240.95,Accepted,RR7,true
RT000075,SO000313,1,V00515,P0024,2025-01-13,ST008,1,104.51,Accepted,RR1,true
RT000076,SO000315,1,V00293,P0013,2025-02-25,ST011,1,140.76,Pending,RR2,false
RT000077,SO000320,1,V00149,P0007,2025-02-06,ST003,1,126.95,Accepted,RR2,true
RT000078,SO000333,2,V00535,P0025,2025-01-14,ST008,1,67.17,Accepted,RR6,true
RT000079,SO000337,1,V00475,P0022,2025-02-05,ST011,1,439.95,Accepted,RR6,true
RT000080,SO000344,3,V00102,P0005,2025-01-30,ST014,1,133.95,Pending,RR7,false
RT000081,SO000345,1,V00706,P0034,2025-02-14,ST015,1,61.95,Pending,RR8,false
RT000082,SO000345,2,V00015,P0001,2025-02-05,ST015,1,217.56,Rejected,RR2,false
RT000083,SO000352,1,V00284,P0012,2025-01-29,ST018,1,70.17,Accepted,RR1,true
RT000084,SO000362,1,V00525,P0024,2025-01-20,ST002,1,122.95,Accepted,RR7,true
RT000085,SO000371,1,V00018,P0001,2025-02-03,ST005,1,271.95,Pending,RR6,false
RT000086,SO000372,1,V00269,P0012,2025-03-01,ST005,1,116.95,Rejected,RR7,false
RT000087,SO000380,5,V00018,P0001,2025-01-31,ST011,1,271.95,Accepted,RR1,true
RT000088,SO000382,1,V00712,P0036,2025-01-27,ST011,1,177.95,Accepted,RR4,false
RT000089,SO000385,1,V00103,P0005,2025-01-19,ST012,1,113.86,Accepted,RR2,true
RT000090,SO000387,2,V00299,P0013,2025-01-16,ST013,1,105.57,Accepted,RR4,false
RT000091,SO000393,1,V00379,P0016,2025-02-08,ST010,1,218.95,Rejected,RR4,false
RT000092,SO000399,2,V00596,P0028,2025-02-16,ST017,1,93.95,Accepted,RR6,true
RT000093,SO000400,1,V00395,P0017,2025-01-17,ST018,1,95.97,Accepted,RR1,true
RT000094,SO000400,3,V00713,P0037,2025-02-03,ST018,1,160.27,Accepted,RR8,true
RT000095,SO000402,1,V00187,P0008,2025-01-30,ST003,1,95.17,Accepted,RR2,true
RT000096,SO000414,1,V00497,P0023,2025-01-17,ST004,1,113.01,Accepted,RR7,true
RT000097,SO000421,2,V00506,P0023,2025-02-01,ST017,1,79.77,Accepted,RR7,true
RT000098,SO000422,1,V00309,P0013,2025-01-15,ST011,1,123.17,Rejected,RR7,false
RT000099,SO000422,2,V00381,P0016,2025-02-06,ST011,1,218.95,Accepted,RR3,true
RT000100,SO000425,1,V00046,P0002,2025-01-30,ST012,1,190.95,Accepted,RR8,true
RT000101,SO000426,4,V00019,P0001,2025-01-24,ST012,1,271.95,Accepted,RR1,true
RT000102,SO000428,1,V00235,P0010,2025-02-09,ST003,1,108.95,Accepted,RR1,true
RT000103,SO000431,1,V00743,P0052,2025-01-31,ST017,1,131.95,Accepted,RR4,false
RT000104,SO000432,1,V00115,P0005,2025-02-01,ST007,1,80.37,Accepted,RR4,false
RT000105,SO000433,1,V00161,P0007,2025-01-27,ST018,1,107.91,Accepted,RR4,false
RT000106,SO000439,1,V00258,P0011,2025-01-21,ST006,1,157.95,Accepted,RR3,true
RT000107,SO000445,1,V00293,P0013,2025-02-10,ST005,1,175.95,Pending,RR1,false
RT000108,SO000458,3,V00458,P0021,2025-02-08,ST010,1,278.95,Accepted,RR1,true
RT000109,SO000462,3,V00389,P0017,2025-02-04,ST004,1,159.95,Accepted,RR7,true
RT000110,SO000467,2,V00260,P0011,2025-02-26,ST013,1,157.95,Accepted,RR8,true
RT000111,SO000469,2,V00598,P0028,2025-02-24,ST004,2,187.90,Rejected,RR8,false
RT000112,SO000481,1,V00461,P0021,2025-01-30,ST012,1,278.95,Pending,RR3,false
RT000113,SO000483,2,V00742,P0051,2025-02-10,ST015,1,62.86,Accepted,RR8,true
RT000114,SO000484,3,V00554,P0026,2025-02-17,ST016,1,52.95,Accepted,RR2,true
RT000115,SO000488,2,V00634,P0030,2025-02-12,ST003,1,107.16,Accepted,RR3,true
RT000116,SO000489,1,V00109,P0005,2025-02-17,ST011,1,133.95,Accepted,RR7,true
RT000117,SO000492,2,V00069,P0003,2025-03-05,ST006,1,164.95,Accepted,RR1,true
RT000118,SO000492,3,V00206,P0009,2025-02-02,ST015,1,119.95,Accepted,RR2,true
RT000119,SO000492,4,V00523,P0024,2025-01-27,ST006,1,122.95,Accepted,RR4,false
RT000120,SO000495,1,V00183,P0008,2025-02-14,ST001,1,108.76,Accepted,RR1,true
RT000121,SO000499,2,V00412,P0018,2025-01-31,ST003,1,144.76,Accepted,RR4,false
RT000122,SO000507,4,V00200,P0009,2025-02-12,ST010,1,83.97,Accepted,RR1,true
RT000123,SO000512,2,V00270,P0012,2025-01-26,ST012,1,70.17,Accepted,RR4,false
RT000124,SO000518,1,V00195,P0009,2025-01-29,ST018,1,89.96,Accepted,RR1,true
RT000125,SO000521,1,V00639,P0031,2025-01-20,ST006,1,75.95,Accepted,RR7,true
RT000126,SO000522,3,V00515,P0024,2025-03-04,ST017,1,104.51,Pending,RR3,false
RT000127,SO000527,2,V00406,P0018,2025-02-01,ST004,1,180.95,Accepted,RR4,false
RT000128,SO000532,3,V00525,P0024,2025-02-03,ST008,1,122.95,Accepted,RR6,true
RT000129,SO000537,1,V00379,P0016,2025-01-26,ST002,1,218.95,Accepted,RR1,true
RT000130,SO000541,1,V00411,P0018,2025-02-20,ST008,1,180.95,Accepted,RR4,false
RT000131,SO000545,2,V00096,P0004,2025-01-23,ST017,1,168.66,Accepted,RR7,true
RT000132,SO000547,2,V00742,P0051,2025-01-22,ST012,2,147.90,Accepted,RR3,true
RT000133,SO000548,1,V00433,P0019,2025-02-13,ST006,1,250.95,Accepted,RR1,true
RT000134,SO000552,2,V00713,P0037,2025-01-28,ST013,1,171.71,Accepted,RR4,false
RT000135,SO000561,1,V00718,P0039,2025-02-07,ST005,1,220.95,Accepted,RR3,true
RT000136,SO000562,2,V00644,P0031,2025-01-30,ST011,1,75.95,Accepted,RR3,true
RT000137,SO000565,2,V00246,P0011,2025-02-05,ST007,1,157.95,Accepted,RR4,false
RT000138,SO000570,2,V00173,P0008,2025-01-28,ST009,2,271.90,Accepted,RR4,false
RT000139,SO000571,1,V00321,P0014,2025-01-26,ST009,1,151.96,Accepted,RR8,true
RT000140,SO000571,2,V00737,P0049,2025-02-03,ST009,1,51.95,Pending,RR3,false
RT000141,SO000571,3,V00042,P0002,2025-02-11,ST009,1,162.31,Accepted,RR1,true
RT000142,SO000577,4,V00233,P0010,2025-02-11,ST011,1,92.61,Accepted,RR7,true
RT000143,SO000580,2,V00604,P0029,2025-01-20,ST013,1,135.95,Accepted,RR3,true
RT000144,SO000582,1,V00736,P0048,2025-01-22,ST014,1,83.95,Accepted,RR7,true
RT000145,SO000589,1,V00279,P0012,2025-02-07,ST006,1,70.17,Accepted,RR3,true
RT000146,SO000590,3,V00355,P0015,2025-02-04,ST008,1,175.96,Accepted,RR7,true
RT000147,SO000592,1,V00603,P0029,2025-03-05,ST003,1,115.56,Accepted,RR1,true
RT000148,SO000592,2,V00640,P0031,2025-01-29,ST006,1,53.17,Accepted,RR7,true
RT000149,SO000592,3,V00554,P0026,2025-02-02,ST013,1,52.95,Accepted,RR8,true
RT000150,SO000594,1,V00331,P0014,2025-02-05,ST007,1,113.97,Accepted,RR7,true
RT000151,SO000598,3,V00683,P0033,2025-02-13,ST001,1,48.95,Accepted,RR1,true
RT000152,SO000603,2,V00149,P0007,2025-01-29,ST004,1,114.25,Pending,RR6,false
RT000153,SO000610,1,V00730,P0045,2025-01-26,ST008,1,56.37,Accepted,RR8,true
RT000154,SO000610,2,V00602,P0029,2025-01-31,ST008,1,135.95,Accepted,RR1,true
RT000155,SO000614,1,V00016,P0001,2025-02-28,ST010,1,231.16,Accepted,RR1,true
RT000156,SO000616,3,V00038,P0002,2025-02-06,ST012,1,190.95,Accepted,RR8,true
RT000157,SO000623,3,V00661,P0032,2025-02-07,ST015,1,31.96,Accepted,RR8,true
RT000158,SO000631,1,V00386,P0017,2025-01-22,ST008,1,159.95,Accepted,RR8,true
RT000159,SO000633,1,V00186,P0008,2025-02-15,ST001,1,101.96,Accepted,RR1,true
RT000160,SO000634,2,V00563,P0026,2025-02-15,ST001,1,52.95,Accepted,RR5,true
RT000161,SO000641,2,V00297,P0013,2025-01-23,ST005,1,105.57,Accepted,RR8,true
RT000162,SO000643,5,V00464,P0021,2025-03-06,ST007,1,251.05,Accepted,RR1,true
RT000163,SO000644,5,V00187,P0008,2025-02-08,ST008,1,135.95,Pending,RR7,false
RT000164,SO000660,1,V00718,P0039,2025-02-22,ST006,1,132.57,Accepted,RR1,true
RT000165,SO000661,4,V00562,P0026,2025-02-10,ST003,1,52.95,Accepted,RR7,true
RT000166,SO000672,2,V00231,P0010,2025-02-08,ST004,1,92.61,Accepted,RR5,true
RT000167,SO000674,3,V00270,P0012,2025-02-03,ST008,1,116.95,Accepted,RR6,true
RT000168,SO000675,2,V00657,P0032,2025-01-28,ST010,1,29.96,Accepted,RR7,true
RT000169,SO000681,1,V00091,P0004,2025-03-05,ST014,1,168.67,Accepted,RR3,true
RT000170,SO000695,1,V00713,P0037,2025-02-09,ST001,1,228.95,Accepted,RR1,true
RT000171,SO000699,3,V00182,P0008,2025-02-16,ST004,1,135.95,Accepted,RR2,true
RT000172,SO000703,1,V00222,P0010,2025-02-17,ST012,1,108.95,Accepted,RR2,true
RT000173,SO000704,1,V00237,P0010,2025-01-26,ST006,1,92.61,Accepted,RR4,false
RT000174,SO000709,2,V00709,P0035,2025-02-05,ST010,1,192.95,Accepted,RR1,true
RT000175,SO000713,1,V00233,P0010,2025-03-11,ST011,1,108.95,Accepted,RR7,true
RT000176,SO000714,1,V00174,P0008,2025-02-23,ST011,1,135.95,Accepted,RR3,true
RT000177,SO000716,1,V00677,P0033,2025-02-10,ST013,1,36.71,Rejected,RR2,false
RT000178,SO000725,1,V00728,P0044,2025-02-24,ST005,1,115.95,Accepted,RR1,true
RT000179,SO000727,1,V00743,P0052,2025-02-17,ST003,1,79.17,Accepted,RR1,true
RT000180,SO000740,4,V00331,P0014,2025-02-06,ST011,1,189.95,Accepted,RR8,true
RT000181,SO000742,2,V00389,P0017,2025-02-07,ST003,1,119.96,Accepted,RR6,true
RT000182,SO000743,1,V00107,P0005,2025-02-02,ST013,1,133.95,Accepted,RR4,false
RT000183,SO000749,1,V00728,P0044,2025-01-31,ST006,1,115.95,Accepted,RR3,true
RT000184,SO000757,1,V00150,P0007,2025-03-08,ST001,1,101.56,Accepted,RR1,true
RT000185,SO000764,1,V00306,P0013,2025-02-06,ST005,1,105.57,Accepted,RR4,false
RT000186,SO000766,2,V00687,P0033,2025-01-30,ST007,1,48.95,Accepted,RR7,true
RT000187,SO000772,1,V00730,P0045,2025-02-05,ST014,1,79.86,Accepted,RR7,true
RT000188,SO000774,1,V00125,P0006,2025-02-12,ST015,1,162.95,Pending,RR4,false
RT000189,SO000774,4,V00506,P0023,2025-03-09,ST015,1,79.77,Accepted,RR4,false
RT000190,SO000774,5,V00561,P0026,2025-02-04,ST015,1,52.95,Pending,RR7,false
RT000191,SO000781,1,V00442,P0020,2025-01-29,ST016,1,255.57,Accepted,RR7,true
RT000192,SO000790,4,V00156,P0007,2025-02-11,ST002,1,126.95,Accepted,RR6,true
RT000193,SO000792,1,V00195,P0009,2025-02-13,ST004,1,89.96,Accepted,RR1,true
RT000194,SO000793,2,V00138,P0006,2025-03-01,ST003,1,138.51,Accepted,RR6,true
RT000195,SO000794,1,V00548,P0026,2025-03-07,ST004,1,52.95,Accepted,RR8,true
RT000196,SO000798,1,V00039,P0002,2025-02-05,ST004,1,162.31,Accepted,RR2,true
RT000197,SO000804,2,V00339,P0015,2025-02-15,ST007,1,186.96,Accepted,RR1,true
RT000198,SO000806,1,V00106,P0005,2025-02-04,ST009,1,113.86,Accepted,RR8,true
RT000199,SO000806,2,V00729,P0045,2025-03-08,ST009,1,93.95,Accepted,RR2,true
RT000200,SO000815,1,V00103,P0005,2025-02-12,ST016,1,133.95,Accepted,RR6,true
RT000201,SO000818,2,V00615,P0029,2025-02-06,ST018,1,81.57,Accepted,RR1,true
RT000202,SO000818,4,V00043,P0002,2025-02-21,ST018,1,190.95,Accepted,RR3,true
RT000203,SO000820,2,V00366,P0016,2025-02-20,ST005,1,186.11,Accepted,RR7,true
RT000204,SO000828,2,V00111,P0005,2025-02-07,ST008,2,267.90,Accepted,RR1,true
RT000205,SO000837,2,V00001,P0001,2025-02-11,ST005,1,271.95,Accepted,RR6,true
RT000206,SO000837,3,V00718,P0039,2025-02-08,ST005,1,176.76,Accepted,RR1,true
RT000207,SO000848,1,V00654,P0031,2025-02-11,ST011,1,75.95,Accepted,RR1,true
RT000208,SO000853,3,V00448,P0020,2025-02-04,ST014,1,425.95,Rejected,RR1,false
RT000209,SO000860,1,V00718,P0039,2025-02-04,ST011,1,220.95,Accepted,RR7,true
RT000210,SO000870,1,V00057,P0003,2025-02-05,ST004,1,164.95,Accepted,RR3,true
RT000211,SO000888,2,V00733,P0047,2025-02-14,ST015,1,76.46,Accepted,RR1,true
RT000212,SO000899,1,V00002,P0001,2025-03-02,ST004,2,543.90,Accepted,RR1,true
RT000213,SO000904,1,V00739,P0050,2025-02-10,ST007,1,129.57,Accepted,RR8,true
RT000214,SO000906,1,V00141,P0006,2025-02-06,ST010,1,138.51,Accepted,RR2,true
RT000215,SO000908,1,V00207,P0009,2025-02-08,ST011,1,119.95,Accepted,RR6,true
RT000216,SO000917,1,V00139,P0006,2025-02-07,ST016,1,138.51,Accepted,RR4,false
RT000217,SO000917,3,V00597,P0028,2025-02-08,ST016,1,75.16,Accepted,RR8,true
RT000218,SO000921,1,V00113,P0005,2025-02-13,ST007,1,93.77,Accepted,RR3,true
RT000219,SO000929,3,V00284,P0012,2025-02-25,ST002,1,116.95,Accepted,RR5,true
RT000220,SO000929,4,V00647,P0031,2025-02-07,ST002,1,75.95,Accepted,RR2,true
RT000221,SO000932,3,V00639,P0031,2025-02-06,ST004,1,75.95,Accepted,RR3,true
RT000222,SO000946,1,V00484,P0022,2025-02-14,ST011,1,263.97,Pending,RR7,false
RT000223,SO000950,1,V00508,P0023,2025-02-21,ST014,1,132.95,Pending,RR3,false
RT000224,SO000950,2,V00209,P0009,2025-02-16,ST014,1,119.95,Accepted,RR5,true
RT000225,SO000952,2,V00056,P0003,2025-02-09,ST015,1,123.71,Accepted,RR7,true
RT000226,SO000952,3,V00706,P0034,2025-02-08,ST015,1,46.46,Accepted,RR4,false
RT000227,SO000955,2,V00399,P0017,2025-02-24,ST003,1,159.95,Accepted,RR1,true
RT000228,SO000960,2,V00075,P0004,2025-03-02,ST003,1,168.67,Rejected,RR4,false
RT000229,SO000987,1,V00434,P0019,2025-02-09,ST004,1,250.95,Accepted,RR2,true
RT000230,SO000990,2,V00368,P0016,2025-02-17,ST006,1,218.95,Accepted,RR8,true
RT000231,SO000991,1,V00568,P0027,2025-02-11,ST007,1,58.06,Accepted,RR3,true
RT000232,SO000991,3,V00489,P0022,2025-03-16,ST007,1,329.96,Accepted,RR3,true
RT000233,SO000993,3,V00665,P0032,2025-02-12,ST008,1,33.96,Accepted,RR7,true
RT000234,SO000996,2,V00340,P0015,2025-02-12,ST011,1,219.95,Accepted,RR3,true
RT000235,SO001005,2,V00623,P0030,2025-02-10,ST017,1,93.77,Accepted,RR1,true
RT000236,SO001007,2,V00317,P0014,2025-03-05,ST017,1,189.95,Accepted,RR4,false
RT000237,SO001008,4,V00668,P0032,2025-02-20,ST006,1,23.97,Accepted,RR1,true
RT000238,SO001008,5,V00719,P0040,2025-03-05,ST010,1,288.96,Accepted,RR6,true
RT000239,SO001009,1,V00160,P0007,2025-02-10,ST010,1,76.17,Accepted,RR7,true
RT000240,SO001011,1,V00135,P0006,2025-02-18,ST016,1,162.95,Rejected,RR4,false
RT000241,SO001018,2,V00221,P0010,2025-02-13,ST001,1,108.95,Accepted,RR2,true
RT000242,SO001020,2,V00210,P0009,2025-02-19,ST002,1,89.96,Accepted,RR2,true
RT000243,SO001022,1,V00356,P0015,2025-02-10,ST007,1,219.95,Pending,RR8,false
RT000244,SO001022,3,V00169,P0008,2025-02-03,ST004,1,135.95,Accepted,RR3,true
RT000245,SO001023,1,V00424,P0019,2025-02-18,ST004,1,250.95,Accepted,RR2,true
RT000246,SO001028,5,V00389,P0017,2025-02-06,ST005,1,159.95,Accepted,RR3,true
RT000247,SO001029,1,V00577,P0027,2025-03-17,ST006,1,58.07,Pending,RR7,false
RT000248,SO001034,2,V00542,P0025,2025-02-19,ST007,1,86.35,Accepted,RR7,true
RT000249,SO001035,1,V00627,P0030,2025-02-26,ST007,1,133.95,Rejected,RR8,false
RT000250,SO001040,3,V00342,P0015,2025-02-27,ST011,1,219.95,Accepted,RR1,true
RT000251,SO001042,1,V00731,P0046,2025-02-08,ST012,1,121.95,Accepted,RR6,true
RT000252,SO001046,3,V00513,P0024,2025-02-20,ST014,1,122.95,Accepted,RR2,true
RT000253,SO001048,2,V00587,P0028,2025-02-11,ST015,1,93.95,Accepted,RR4,false
RT000254,SO001049,3,V00500,P0023,2025-02-26,ST015,1,113.01,Accepted,RR7,true
RT000255,SO001052,1,V00318,P0014,2025-02-10,ST016,1,132.97,Accepted,RR2,true
RT000256,SO001054,1,V00407,P0018,2025-02-24,ST015,1,126.67,Accepted,RR5,true
RT000257,SO001056,4,V00548,P0026,2025-02-13,ST018,1,52.95,Accepted,RR7,true
RT000258,SO001063,3,V00733,P0047,2025-02-17,ST004,1,71.96,Accepted,RR4,false
RT000259,SO001076,2,V00106,P0005,2025-02-27,ST006,1,133.95,Accepted,RR2,true
RT000260,SO001078,4,V00405,P0018,2025-02-11,ST007,1,180.95,Accepted,RR6,true
RT000261,SO001079,1,V00016,P0001,2025-02-19,ST007,1,190.37,Pending,RR2,false
RT000262,SO001082,4,V00327,P0014,2025-02-11,ST008,1,189.95,Accepted,RR3,true
RT000263,SO001083,3,V00393,P0017,2025-02-13,ST009,1,159.95,Accepted,RR4,false
RT000264,SO001095,1,V00473,P0021,2025-02-17,ST013,1,223.16,Rejected,RR6,false
RT000265,SO001095,2,V00055,P0003,2025-03-04,ST013,1,164.95,Accepted,RR3,true
RT000266,SO001101,1,V00041,P0002,2025-02-17,ST017,1,190.95,Accepted,RR7,true
RT000267,SO001101,2,V00356,P0015,2025-02-26,ST017,1,219.95,Accepted,RR2,true
RT000268,SO001106,2,V00709,P0035,2025-02-16,ST010,1,192.95,Accepted,RR2,true
RT000269,SO001120,2,V00495,P0023,2025-02-20,ST007,1,132.95,Accepted,RR3,true
RT000270,SO001136,2,V00352,P0015,2025-03-02,ST001,1,219.95,Accepted,RR7,true
RT000271,SO001139,1,V00460,P0021,2025-02-23,ST003,1,278.95,Accepted,RR7,true
RT000272,SO001147,1,V00437,P0019,2025-02-13,ST011,1,200.76,Accepted,RR2,true
RT000273,SO001150,2,V00671,P0032,2025-02-12,ST013,1,27.97,Accepted,RR4,false
RT000274,SO001155,1,V00537,P0025,2025-03-21,ST018,1,95.95,Accepted,RR3,true
RT000275,SO001156,1,V00737,P0049,2025-02-19,ST012,1,51.95,Accepted,RR5,true
RT000276,SO001158,1,V00719,P0040,2025-02-17,ST006,1,339.95,Rejected,RR7,false
RT000277,SO001171,1,V00485,P0022,2025-03-04,ST011,1,439.95,Rejected,RR5,false
RT000278,SO001179,1,V00734,P0047,2025-02-14,ST017,1,53.97,Pending,RR1,false
RT000279,SO001181,2,V00307,P0013,2025-03-01,ST006,1,131.96,Accepted,RR2,true
RT000280,SO001183,2,V00149,P0007,2025-03-01,ST011,1,126.95,Rejected,RR7,false
RT000281,SO001209,2,V00581,P0027,2025-02-22,ST018,1,82.95,Accepted,RR7,true
RT000282,SO001210,1,V00423,P0019,2025-02-16,ST003,1,150.57,Accepted,RR7,true
RT000283,SO001211,3,V00629,P0030,2025-02-17,ST018,1,100.46,Accepted,RR4,false
RT000284,SO001222,1,V00374,P0016,2025-02-19,ST006,1,218.95,Accepted,RR4,false
RT000285,SO001224,1,V00568,P0027,2025-02-26,ST009,1,70.51,Accepted,RR3,true
RT000286,SO001227,1,V00256,P0011,2025-02-16,ST010,1,94.77,Rejected,RR1,false
RT000287,SO001227,3,V00091,P0004,2025-02-16,ST010,1,144.57,Accepted,RR7,true
RT000288,SO001237,1,V00107,P0005,2025-03-28,ST009,1,133.95,Pending,RR1,false
