OrderLineID,OrderID,OrderLineNumber,VariantID,ProductID,Quantity,UnitPrice,DiscountAmount,LineTotal
SO000046-4,SO000046,4,V00744,P0052,1,131.95,39.58,92.37
SO000047-1,SO000047,1,V00387,P0017,1,159.95,0.00,159.95
SO000047-2,SO000047,2,V00713,P0037,1,228.95,22.90,206.05
SO000048-1,SO000048,1,V00585,P0028,1,93.95,0.00,93.95
SO000048-2,SO000048,2,V00650,P0031,1,75.95,11.39,64.56
SO000048-3,SO000048,3,V00602,P0029,2,135.95,40.78,231.12
SO000048-4,SO000048,4,V00710,P0035,1,192.95,48.24,144.71
SO000048-5,SO000048,5,V00721,P0041,3,211.95,190.76,445.09
SO000049-1,SO000049,1,V00393,P0017,1,159.95,0.00,159.95
SO000050-1,SO000050,1,V00115,P0005,1,133.95,0.00,133.95
SO000050-2,SO000050,2,V00381,P0016,3,218.95,262.74,394.11
SO000050-3,SO000050,3,V00017,P0001,1,271.95,40.79,231.16
SO000050-4,SO000050,4,V00639,P0031,1,75.95,0.00,75.95
SO000051-1,SO000051,1,V00593,P0028,1,93.95,23.49,70.46
SO000052-1,SO000052,1,V00494,P0023,1,132.95,0.00,132.95
SO000052-2,SO000052,2,V00519,P0024,1,122.95,24.59,98.36
SO000053-1,SO000053,1,V00712,P0036,1,177.95,71.18,106.77
SO000054-1,SO000054,1,V00524,P0024,1,122.95,0.00,122.95
SO000055-1,SO000055,1,V00584,P0028,1,93.95,0.00,93.95
SO000056-1,SO000056,1,V00716,P0038,1,476.95,119.24,357.71
SO000057-1,SO000057,1,V00713,P0037,1,228.95,0.00,228.95
SO000057-2,SO000057,2,V00405,P0018,1,180.95,0.00,180.95
SO000057-3,SO000057,3,V00397,P0017,1,159.95,47.98,111.97
SO000058-1,SO000058,1,V00045,P0002,1,190.95,47.74,143.21
SO000058-2,SO000058,2,V00723,P0042,1,358.95,0.00,358.95
SO000058-3,SO000058,3,V00016,P0001,1,271.95,81.58,190.37
SO000058-4,SO000058,4,V00193,P0009,1,119.95,0.00,119.95
SO000059-1,SO000059,1,V00733,P0047,1,89.95,17.99,71.96
SO000060-1,SO000060,1,V00721,P0041,1,211.95,0.00,211.95
SO000060-2,SO000060,2,V00344,P0015,1,219.95,43.99,175.96
SO000061-1,SO000061,1,V00078,P0004,1,240.95,72.28,168.67
SO000062-1,SO000062,1,V00720,P0040,1,339.95,50.99,288.96
SO000063-1,SO000063,1,V00714,P0037,1,228.95,57.24,171.71
SO000063-2,SO000063,2,V00294,P0013,3,175.95,0.00,527.85
SO000063-3,SO000063,3,V00734,P0047,1,89.95,13.49,76.46
SO000064-1,SO000064,1,V00454,P0020,1,425.95,0.00,425.95
SO000064-2,SO000064,2,V00674,P0033,2,48.95,0.00,97.90
SO000065-1,SO000065,1,V00718,P0039,1,220.95,22.10,198.85
SO000065-2,SO000065,2,V00727,P0044,1,115.95,0.00,115.95
SO000066-1,SO000066,1,V00734,P0047,2,89.95,0.00,179.90
SO000067-1,SO000067,1,V00544,P0025,1,95.95,14.39,81.56
SO000067-2,SO000067,2,V00564,P0026,1,52.95,0.00,52.95
SO000068-1,SO000068,1,V00546,P0025,1,95.95,0.00,95.95
SO000069-1,SO000069,1,V00237,P0010,1,108.95,43.58,65.37
SO000069-2,SO000069,2,V00735,P0048,1,83.95,0.00,83.95
SO000069-3,SO000069,3,V00355,P0015,1,219.95,0.00,219.95
SO000070-1,SO000070,1,V00722,P0041,1,211.95,31.79,180.16
SO000071-1,SO000071,1,V00722,P0041,1,211.95,31.79,180.16
SO000071-2,SO000071,2,V00542,P0025,1,95.95,0.00,95.95
SO000071-3,SO000071,3,V00366,P0016,1,218.95,32.84,186.11
SO000071-4,SO000071,4,V00696,P0034,1,61.95,0.00,61.95
SO000072-1,SO000072,1,V00508,P0023,1,132.95,0.00,132.95
SO000073-1,SO000073,1,V00728,P0044,1,115.95,0.00,115.95
SO000073-2,SO000073,2,V00280,P0012,1,116.95,46.78,70.17
SO000074-1,SO000074,1,V00626,P0030,3,133.95,100.46,301.39
SO000074-2,SO000074,2,V00724,P0042,2,358.95,143.58,574.32
SO000075-1,SO000075,1,V00247,P0011,1,157.95,0.00,157.95
SO000075-2,SO000075,2,V00624,P0030,1,133.95,0.00,133.95
SO000076-1,SO000076,1,V00588,P0028,1,93.95,0.00,93.95
SO000076-2,SO000076,2,V00725,P0043,1,138.95,0.00,138.95
SO000076-3,SO000076,3,V00683,P0033,1,48.95,7.34,41.61
SO000077-1,SO000077,1,V00623,P0030,1,133.95,20.09,113.86
SO000078-1,SO000078,1,V00740,P0050,1,215.95,0.00,215.95
SO000079-1,SO000079,1,V00713,P0037,1,228.95,34.34,194.61
SO000080-1,SO000080,1,V00039,P0002,1,190.95,0.00,190.95
SO000080-2,SO000080,2,V00720,P0040,1,339.95,135.98,203.97
SO000081-1,SO000081,1,V00693,P0034,1,61.95,24.78,37.17
SO000081-2,SO000081,2,V00720,P0040,2,339.95,0.00,679.90
SO000081-3,SO000081,3,V00737,P0049,1,51.95,0.00,51.95
SO000082-1,SO000082,1,V00620,P0030,1,133.95,0.00,133.95
SO000083-1,SO000083,1,V00459,P0021,1,278.95,83.68,195.27
SO000083-2,SO000083,2,V00051,P0003,1,164.95,24.74,140.21
SO000083-3,SO000083,3,V00737,P0049,1,51.95,7.79,44.16
SO000084-1,SO000084,1,V00726,P0043,1,138.95,41.68,97.27
SO000084-2,SO000084,2,V00138,P0006,1,162.95,0.00,162.95
SO000084-3,SO000084,3,V00512,P0024,2,122.95,73.77,172.13
SO000084-4,SO000084,4,V00078,P0004,1,240.95,0.00,240.95
SO000084-5,SO000084,5,V00488,P0022,1,439.95,87.99,351.96
SO000085-1,SO000085,1,V00729,P0045,1,93.95,0.00,93.95
SO000085-2,SO000085,2,V00646,P0031,1,75.95,0.00,75.95
SO000085-3,SO000085,3,V00117,P0005,1,133.95,13.40,120.55
SO000085-4,SO000085,4,V00365,P0016,1,218.95,0.00,218.95
SO000086-1,SO000086,1,V00516,P0024,1,122.95,18.44,104.51
SO000087-1,SO000087,1,V00716,P0038,1,476.95,0.00,476.95
SO000088-1,SO000088,1,V00405,P0018,1,180.95,36.19,144.76
SO000088-2,SO000088,2,V00681,P0033,1,48.95,9.79,39.16
SO000088-3,SO000088,3,V00586,P0028,1,93.95,0.00,93.95
SO000088-4,SO000088,4,V00730,P0045,1,93.95,0.00,93.95
SO000089-1,SO000089,1,V00741,P0051,3,73.95,44.37,177.48
SO000090-1,SO000090,1,V00513,P0024,1,122.95,30.74,92.21
SO000090-2,SO000090,2,V00536,P0025,1,95.95,14.39,81.56
SO000090-3,SO000090,3,V00500,P0023,2,132.95,0.00,265.90
SO000091-1,SO000091,1,V00376,P0016,1,218.95,32.84,186.11
SO000091-2,SO000091,2,V00630,P0030,1,133.95,0.00,133.95
SO000091-3,SO000091,3,V00401,P0017,1,159.95,23.99,135.96
SO000091-4,SO000091,4,V00495,P0023,1,132.95,0.00,132.95
SO000091-5,SO000091,5,V00567,P0027,1,82.95,0.00,82.95
SO000092-1,SO000092,1,V00158,P0007,1,126.95,0.00,126.95
SO000092-2,SO000092,2,V00735,P0048,1,83.95,20.99,62.96
SO000092-3,SO000092,3,V00735,P0048,1,83.95,0.00,83.95
SO000093-1,SO000093,1,V00615,P0029,1,135.95,13.60,122.35
SO000093-2,SO000093,2,V00713,P0037,1,228.95,0.00,228.95
SO000094-1,SO000094,1,V00501,P0023,1,132.95,0.00,132.95
SO000094-2,SO000094,2,V00656,P0032,1,39.95,0.00,39.95
SO000095-1,SO000095,1,V00306,P0013,1,175.95,0.00,175.95
SO000095-2,SO000095,2,V00007,P0001,1,271.95,27.20,244.75
SO000096-1,SO000096,1,V00700,P0034,1,61.95,0.00,61.95
SO000097-1,SO000097,1,V00460,P0021,1,278.95,0.00,278.95
SO000098-1,SO000098,1,V00711,P0036,1,177.95,0.00,177.95
SO000098-2,SO000098,2,V00714,P0037,1,228.95,0.00,228.95
SO000098-3,SO000098,3,V00209,P0009,1,119.95,23.99,95.96
SO000099-1,SO000099,1,V00353,P0015,1,219.95,65.98,153.97
SO000099-2,SO000099,2,V00032,P0002,2,190.95,0.00,381.90
SO000100-1,SO000100,1,V00540,P0025,2,95.95,0.00,191.90
SO000100-2,SO000100,2,V00380,P0016,1,218.95,32.84,186.11
SO000100-3,SO000100,3,V00454,P0020,1,425.95,127.78,298.17
SO000100-4,SO000100,4,V00030,P0002,1,190.95,0.00,190.95
SO000100-5,SO000100,5,V00093,P0004,1,240.95,24.10,216.85
SO000101-1,SO000101,1,V00287,P0012,1,116.95,29.24,87.71
SO000102-1,SO000102,1,V00735,P0048,1,83.95,0.00,83.95
SO000102-2,SO000102,2,V00268,P0012,3,116.95,35.08,315.77
SO000103-1,SO000103,1,V00266,P0012,1,116.95,17.54,99.41
SO000103-2,SO000103,2,V00251,P0011,1,157.95,0.00,157.95
SO000103-3,SO000103,3,V00378,P0016,1,218.95,32.84,186.11
SO000103-4,SO000103,4,V00417,P0018,1,180.95,0.00,180.95
SO000104-1,SO000104,1,V00429,P0019,1,250.95,0.00,250.95
SO000105-1,SO000105,1,V00743,P0052,1,131.95,0.00,131.95
SO000106-1,SO000106,1,V00614,P0029,1,135.95,33.99,101.96
SO000106-2,SO000106,2,V00744,P0052,1,131.95,32.99,98.96
SO000106-3,SO000106,3,V00314,P0014,1,189.95,0.00,189.95
SO000106-4,SO000106,4,V00215,P0009,1,119.95,0.00,119.95
SO000106-5,SO000106,5,V00710,P0035,1,192.95,38.59,154.36
SO000107-1,SO000107,1,V00178,P0008,1,135.95,20.39,115.56
SO000108-1,SO000108,1,V00670,P0032,1,39.95,0.00,39.95
SO000109-1,SO000109,1,V00724,P0042,1,358.95,107.68,251.27
SO000110-1,SO000110,1,V00711,P0036,1,177.95,53.38,124.57
SO000111-1,SO000111,1,V00519,P0024,2,122.95,36.88,209.02
SO000112-1,SO000112,1,V00621,P0030,1,133.95,0.00,133.95
SO000113-1,SO000113,1,V00602,P0029,1,135.95,20.39,115.56
SO000113-2,SO000113,2,V00359,P0015,1,219.95,87.98,131.97
SO000113-3,SO000113,3,V00145,P0007,1,126.95,50.78,76.17
SO000113-4,SO000113,4,V00099,P0005,1,133.95,0.00,133.95
SO000114-1,SO000114,1,V00064,P0003,1,164.95,0.00,164.95
SO000114-2,SO000114,2,V00260,P0011,1,157.95,63.18,94.77
SO000114-3,SO000114,3,V00067,P0003,3,164.95,197.94,296.91
SO000114-4,SO000114,4,V00454,P0020,1,425.95,0.00,425.95
SO000115-1,SO000115,1,V00720,P0040,2,339.95,0.00,679.90
SO000115-2,SO000115,2,V00366,P0016,1,218.95,87.58,131.37
SO000115-3,SO000115,3,V00735,P0048,1,83.95,0.00,83.95
SO000116-1,SO000116,1,V00713,P0037,1,228.95,0.00,228.95
SO000116-2,SO000116,2,V00713,P0037,1,228.95,68.68,160.27
SO000116-3,SO000116,3,V00009,P0001,1,271.95,0.00,271.95
SO000117-1,SO000117,1,V00647,P0031,1,75.95,0.00,75.95
SO000117-2,SO000117,2,V00614,P0029,1,135.95,54.38,81.57
SO000117-3,SO000117,3,V00711,P0036,2,177.95,53.38,302.52
SO000118-1,SO000118,1,V00554,P0026,1,52.95,0.00,52.95
SO000118-2,SO000118,2,V00694,P0034,1,61.95,0.00,61.95
SO000119-1,SO000119,1,V00353,P0015,1,219.95,0.00,219.95
SO000120-1,SO000120,1,V00150,P0007,1,126.95,0.00,126.95
SO000121-1,SO000121,1,V00737,P0049,1,51.95,20.78,31.17
SO000122-1,SO000122,1,V00175,P0008,2,135.95,81.57,190.33
SO000122-2,SO000122,2,V00734,P0047,1,89.95,0.00,89.95
SO000123-1,SO000123,1,V00499,P0023,1,132.95,0.00,132.95
SO000123-2,SO000123,2,V00047,P0002,1,190.95,76.38,114.57
SO000124-1,SO000124,1,V00634,P0030,1,133.95,20.09,113.86
SO000124-2,SO000124,2,V00018,P0001,1,271.95,0.00,271.95
SO000125-1,SO000125,1,V00527,P0024,1,122.95,24.59,98.36
SO000126-1,SO000126,1,V00719,P0040,1,339.95,135.98,203.97
SO000126-2,SO000126,2,V00573,P0027,1,82.95,0.00,82.95
SO000126-3,SO000126,3,V00260,P0011,1,157.95,0.00,157.95
SO000126-4,SO000126,4,V00740,P0050,1,215.95,0.00,215.95
SO000127-1,SO000127,1,V00184,P0008,1,135.95,40.78,95.17
SO000128-1,SO000128,1,V00738,P0049,1,51.95,20.78,31.17
SO000128-2,SO000128,2,V00718,P0039,1,220.95,0.00,220.95
SO000128-3,SO000128,3,V00477,P0022,1,439.95,131.98,307.97
SO000129-1,SO000129,1,V00639,P0031,1,75.95,0.00,75.95
SO000129-2,SO000129,2,V00200,P0009,1,119.95,23.99,95.96
SO000130-1,SO000130,1,V00400,P0017,1,159.95,0.00,159.95
SO000130-2,SO000130,2,V00727,P0044,1,115.95,28.99,86.96
SO000131-1,SO000131,1,V00639,P0031,2,75.95,0.00,151.90
SO000131-2,SO000131,2,V00321,P0014,1,189.95,0.00,189.95
SO000132-1,SO000132,1,V00406,P0018,1,180.95,0.00,180.95
SO000132-2,SO000132,2,V00089,P0004,1,240.95,0.00,240.95
SO000132-3,SO000132,3,V00195,P0009,1,119.95,35.98,83.97
SO000133-1,SO000133,1,V00538,P0025,1,95.95,19.19,76.76
SO000134-1,SO000134,1,V00264,P0011,1,157.95,0.00,157.95
SO000135-1,SO000135,1,V00103,P0005,1,133.95,33.49,100.46
SO000135-2,SO000135,2,V00550,P0026,1,52.95,13.24,39.71
SO000135-3,SO000135,3,V00742,P0051,1,73.95,0.00,73.95
SO000136-1,SO000136,1,V00737,P0049,1,51.95,7.79,44.16
SO000136-2,SO000136,2,V00645,P0031,1,75.95,11.39,64.56
SO000137-1,SO000137,1,V00610,P0029,1,135.95,27.19,108.76
SO000137-2,SO000137,2,V00731,P0046,1,121.95,36.58,85.37
SO000137-3,SO000137,3,V00713,P0037,2,228.95,68.68,389.22
SO000138-1,SO000138,1,V00077,P0004,1,240.95,72.28,168.67
SO000139-1,SO000139,1,V00724,P0042,2,358.95,0.00,717.90
SO000140-1,SO000140,1,V00290,P0013,1,175.95,0.00,175.95
SO000140-2,SO000140,2,V00703,P0034,1,61.95,18.58,43.37
SO000140-3,SO000140,3,V00458,P0021,1,278.95,69.74,209.21
SO000141-1,SO000141,1,V00488,P0022,2,439.95,0.00,879.90
SO000141-2,SO000141,2,V00734,P0047,1,89.95,0.00,89.95
SO000141-3,SO000141,3,V00596,P0028,1,93.95,37.58,56.37
SO000142-1,SO000142,1,V00730,P0045,1,93.95,18.79,75.16
SO000142-2,SO000142,2,V00526,P0024,1,122.95,49.18,73.77
SO000142-3,SO000142,3,V00623,P0030,1,133.95,33.49,100.46
SO000142-4,SO000142,4,V00305,P0013,1,175.95,0.00,175.95
SO000143-1,SO000143,1,V00137,P0006,1,162.95,40.74,122.21
SO000143-2,SO000143,2,V00171,P0008,1,135.95,0.00,135.95
SO000144-1,SO000144,1,V00734,P0047,1,89.95,0.00,89.95
SO000145-1,SO000145,1,V00078,P0004,1,240.95,0.00,240.95
SO000145-2,SO000145,2,V00033,P0002,1,190.95,76.38,114.57
SO000145-3,SO000145,3,V00399,P0017,1,159.95,39.99,119.96
SO000146-1,SO000146,1,V00732,P0046,1,121.95,18.29,103.66
SO000147-1,SO000147,1,V00021,P0001,1,271.95,108.78,163.17
SO000148-1,SO000148,1,V00521,P0024,1,122.95,24.59,98.36
SO000149-1,SO000149,1,V00163,P0007,1,126.95,12.70,114.25
SO000149-2,SO000149,2,V00708,P0034,1,61.95,0.00,61.95
SO000150-1,SO000150,1,V00607,P0029,1,135.95,0.00,135.95
SO000151-1,SO000151,1,V00555,P0026,1,52.95,0.00,52.95
SO000151-2,SO000151,2,V00738,P0049,1,51.95,0.00,51.95
SO000152-1,SO000152,1,V00561,P0026,1,52.95,0.00,52.95
SO000153-1,SO000153,1,V00744,P0052,2,131.95,65.98,197.92
SO000153-2,SO000153,2,V00220,P0010,3,108.95,65.37,261.48
SO000153-3,SO000153,3,V00610,P0029,1,135.95,0.00,135.95
SO000153-4,SO000153,4,V00310,P0013,1,175.95,0.00,175.95
SO000154-1,SO000154,1,V00647,P0031,1,75.95,0.00,75.95
SO000155-1,SO000155,1,V00721,P0041,1,211.95,52.99,158.96
SO000155-2,SO000155,2,V00734,P0047,1,89.95,26.98,62.97
SO000156-1,SO000156,1,V00167,P0007,1,126.95,38.08,88.87
SO000156-2,SO000156,2,V00725,P0043,1,138.95,27.79,111.16
SO000156-3,SO000156,3,V00111,P0005,1,133.95,0.00,133.95
SO000156-4,SO000156,4,V00301,P0013,1,175.95,0.00,175.95
SO000157-1,SO000157,1,V00174,P0008,2,135.95,0.00,271.90
SO000157-2,SO000157,2,V00262,P0011,1,157.95,0.00,157.95
SO000157-3,SO000157,3,V00195,P0009,1,119.95,47.98,71.97
SO000158-1,SO000158,1,V00744,P0052,1,131.95,19.79,112.16
SO000158-2,SO000158,2,V00519,P0024,1,122.95,36.88,86.07
SO000158-3,SO000158,3,V00575,P0027,1,82.95,0.00,82.95
SO000158-4,SO000158,4,V00304,P0013,1,175.95,0.00,175.95
SO000159-1,SO000159,1,V00721,P0041,1,211.95,0.00,211.95
SO000160-1,SO000160,1,V00714,P0037,2,228.95,0.00,457.90
SO000160-2,SO000160,2,V00726,P0043,2,138.95,55.58,222.32
SO000161-1,SO000161,1,V00516,P0024,1,122.95,0.00,122.95
SO000162-1,SO000162,1,V00649,P0031,1,75.95,0.00,75.95
SO000163-1,SO000163,1,V00393,P0017,1,159.95,23.99,135.96
SO000164-1,SO000164,1,V00393,P0017,3,159.95,191.94,287.91
SO000164-2,SO000164,2,V00711,P0036,1,177.95,0.00,177.95
SO000165-1,SO000165,1,V00735,P0048,2,83.95,67.16,100.74
SO000166-1,SO000166,1,V00307,P0013,1,175.95,0.00,175.95
SO000166-2,SO000166,2,V00383,P0016,1,218.95,65.68,153.27
SO000167-1,SO000167,1,V00604,P0029,1,135.95,0.00,135.95
SO000168-1,SO000168,1,V00525,P0024,1,122.95,18.44,104.51
SO000168-2,SO000168,2,V00741,P0051,1,73.95,0.00,73.95
SO000168-3,SO000168,3,V00046,P0002,1,190.95,0.00,190.95
SO000168-4,SO000168,4,V00341,P0015,3,219.95,197.96,461.89
SO000169-1,SO000169,1,V00676,P0033,1,48.95,0.00,48.95
SO000170-1,SO000170,1,V00441,P0020,1,425.95,0.00,425.95
SO000170-2,SO000170,2,V00415,P0018,1,180.95,0.00,180.95
SO000171-1,SO000171,1,V00285,P0012,1,116.95,0.00,116.95
SO000171-2,SO000171,2,V00373,P0016,1,218.95,87.58,131.37
SO000171-3,SO000171,3,V00713,P0037,1,228.95,0.00,228.95
SO000172-1,SO000172,1,V00592,P0028,1,93.95,0.00,93.95
SO000173-1,SO000173,1,V00452,P0020,1,425.95,63.89,362.06
SO000174-1,SO000174,1,V00162,P0007,1,126.95,38.08,88.87
SO000175-1,SO000175,1,V00579,P0027,1,82.95,0.00,82.95
SO000176-1,SO000176,1,V00568,P0027,1,82.95,0.00,82.95
SO000177-1,SO000177,1,V00731,P0046,2,121.95,36.58,207.32
SO000177-2,SO000177,2,V00432,P0019,1,250.95,0.00,250.95
SO000177-3,SO000177,3,V00209,P0009,1,119.95,23.99,95.96
SO000178-1,SO000178,1,V00405,P0018,2,180.95,108.57,253.33
SO000178-2,SO000178,2,V00681,P0033,1,48.95,9.79,39.16
SO000179-1,SO000179,1,V00416,P0018,1,180.95,18.10,162.85
SO000179-2,SO000179,2,V00137,P0006,2,162.95,0.00,325.90
SO000179-3,SO000179,3,V00732,P0046,1,121.95,18.29,103.66
SO000179-4,SO000179,4,V00664,P0032,1,39.95,9.99,29.96
SO000179-5,SO000179,5,V00388,P0017,1,159.95,63.98,95.97
SO000180-1,SO000180,1,V00635,P0030,3,133.95,0.00,401.85
SO000181-1,SO000181,1,V00561,P0026,1,52.95,0.00,52.95
SO000181-2,SO000181,2,V00459,P0021,1,278.95,41.84,237.11
SO000182-1,SO000182,1,V00640,P0031,1,75.95,0.00,75.95
SO000183-1,SO000183,1,V00727,P0044,2,115.95,0.00,231.90
SO000183-2,SO000183,2,V00144,P0006,1,162.95,24.44,138.51
SO000183-3,SO000183,3,V00730,P0045,1,93.95,18.79,75.16
SO000184-1,SO000184,1,V00593,P0028,1,93.95,14.09,79.86
SO000184-2,SO000184,2,V00077,P0004,1,240.95,96.38,144.57
SO000185-1,SO000185,1,V00727,P0044,1,115.95,0.00,115.95
SO000186-1,SO000186,1,V00429,P0019,1,250.95,0.00,250.95
SO000187-1,SO000187,1,V00308,P0013,1,175.95,0.00,175.95
SO000188-1,SO000188,1,V00399,P0017,1,159.95,23.99,135.96
SO000188-2,SO000188,2,V00460,P0021,1,278.95,0.00,278.95
SO000189-1,SO000189,1,V00459,P0021,2,278.95,0.00,557.90
SO000189-2,SO000189,2,V00723,P0042,2,358.95,107.68,610.22
SO000190-1,SO000190,1,V00596,P0028,1,93.95,18.79,75.16
SO000191-1,SO000191,1,V00739,P0050,3,215.95,0.00,647.85
SO000191-2,SO000191,2,V00640,P0031,1,75.95,30.38,45.57
SO000191-3,SO000191,3,V00502,P0023,1,132.95,39.88,93.07
SO000191-4,SO000191,4,V00194,P0009,1,119.95,0.00,119.95
SO000191-5,SO000191,5,V00170,P0008,1,135.95,33.99,101.96
SO000192-1,SO000192,1,V00551,P0026,1,52.95,10.59,42.36
SO000192-2,SO000192,2,V00592,P0028,1,93.95,23.49,70.46
SO000192-3,SO000192,3,V00731,P0046,1,121.95,12.20,109.75
SO000192-4,SO000192,4,V00707,P0034,1,61.95,24.78,37.17
SO000192-5,SO000192,5,V00515,P0024,1,122.95,24.59,98.36
SO000193-1,SO000193,1,V00700,P0034,1,61.95,9.29,52.66
SO000193-2,SO000193,2,V00195,P0009,2,119.95,35.98,203.92
