TargetID,StoreID,TargetMonth,TargetNetSales
ST006-202601,ST006,2026-01-01,18150.00
ST006-202602,ST006,2026-02-01,16620.00
ST006-202603,ST006,2026-03-01,24580.00
ST006-202604,ST006,2026-04-01,27810.00
ST006-202605,ST006,2026-05-01,33870.00
ST006-202606,ST006,2026-06-01,32050.00
ST006-202607,ST006,2026-07-01,32520.00
ST006-202608,ST006,2026-08-01,30660.00
ST006-202609,ST006,2026-09-01,27190.00
ST006-202610,ST006,2026-10-01,27230.00
ST006-202611,ST006,2026-11-01,31560.00
ST006-202612,ST006,2026-12-01,35660.00
ST007-202501,ST007,2025-01-01,14560.00
ST007-202502,ST007,2025-02-01,14070.00
ST007-202503,ST007,2025-03-01,19620.00
ST007-202504,ST007,2025-04-01,22500.00
ST007-202505,ST007,2025-05-01,26640.00
ST007-202506,ST007,2025-06-01,27210.00
ST007-202507,ST007,2025-07-01,25890.00
ST007-202508,ST007,2025-08-01,24030.00
ST007-202509,ST007,2025-09-01,21240.00
ST007-202510,ST007,2025-10-01,20600.00
ST007-202511,ST007,2025-11-01,25090.00
ST007-202512,ST007,2025-12-01,28230.00
ST007-202601,ST007,2026-01-01,14500.00
ST007-202602,ST007,2026-02-01,13290.00
ST007-202603,ST007,2026-03-01,19960.00
ST007-202604,ST007,2026-04-01,22400.00
ST007-202605,ST007,2026-05-01,27090.00
ST007-202606,ST007,2026-06-01,26190.00
ST007-202607,ST007,2026-07-01,25340.00
ST007-202608,ST007,2026-08-01,24710.00
ST007-202609,ST007,2026-09-01,21330.00
ST007-202610,ST007,2026-10-01,21680.00
ST007-202611,ST007,2026-11-01,24380.00
ST007-202612,ST007,2026-12-01,28990.00
ST008-202501,ST008,2025-01-01,17900.00
ST008-202502,ST008,2025-02-01,16490.00
ST008-202503,ST008,2025-03-01,24180.00
ST008-202504,ST008,2025-04-01,27880.00
ST008-202505,ST008,2025-05-01,31490.00
ST008-202506,ST008,2025-06-01,32450.00
ST008-202507,ST008,2025-07-01,31450.00
ST008-202508,ST008,2025-08-01,29880.00
ST008-202509,ST008,2025-09-01,25890.00
ST008-202510,ST008,2025-10-01,25270.00
ST008-202511,ST008,2025-11-01,31320.00
ST008-202512,ST008,2025-12-01,33930.00
ST008-202601,ST008,2026-01-01,17870.00
ST008-202602,ST008,2026-02-01,16450.00
ST008-202603,ST008,2026-03-01,23910.00
ST008-202604,ST008,2026-04-01,27540.00
ST008-202605,ST008,2026-05-01,32170.00
ST008-202606,ST008,2026-06-01,31120.00
ST008-202607,ST008,2026-07-01,32160.00
ST008-202608,ST008,2026-08-01,30000.00
ST008-202609,ST008,2026-09-01,26630.00
ST008-202610,ST008,2026-10-01,26940.00
ST008-202611,ST008,2026-11-01,29870.00
ST008-202612,ST008,2026-12-01,34330.00
ST009-202501,ST009,2025-01-01,14500.00
ST009-202502,ST009,2025-02-01,14000.00
ST009-202503,ST009,2025-03-01,19550.00
ST009-202504,ST009,2025-04-01,22380.00
ST009-202505,ST009,2025-05-01,26650.00
ST009-202506,ST009,2025-06-01,26760.00
ST009-202507,ST009,2025-07-01,26380.00
ST009-202508,ST009,2025-08-01,24980.00
ST009-202509,ST009,2025-09-01,20900.00
ST009-202510,ST009,2025-10-01,21310.00
ST009-202511,ST009,2025-11-01,25530.00
ST009-202512,ST009,2025-12-01,27630.00
ST009-202601,ST009,2026-01-01,14480.00
ST009-202602,ST009,2026-02-01,13390.00
ST009-202603,ST009,2026-03-01,19990.00
ST009-202604,ST009,2026-04-01,22530.00
ST009-202605,ST009,2026-05-01,26310.00
ST009-202606,ST009,2026-06-01,25990.00
ST009-202607,ST009,2026-07-01,25070.00
ST009-202608,ST009,2026-08-01,25020.00
ST009-202609,ST009,2026-09-01,21770.00
ST009-202610,ST009,2026-10-01,22110.00
ST009-202611,ST009,2026-11-01,25740.00
ST009-202612,ST009,2026-12-01,28770.00
ST010-202501,ST010,2025-01-01,14440.00
ST010-202502,ST010,2025-02-01,13790.00
ST010-202503,ST010,2025-03-01,20190.00
ST010-202504,ST010,2025-04-01,22570.00
ST010-202505,ST010,2025-05-01,25900.00
ST010-202506,ST010,2025-06-01,26730.00
ST010-202507,ST010,2025-07-01,26010.00
ST010-202508,ST010,2025-08-01,24850.00
ST010-202509,ST010,2025-09-01,21370.00
ST010-202510,ST010,2025-10-01,21130.00
ST010-202511,ST010,2025-11-01,25600.00
ST010-202512,ST010,2025-12-01,28120.00
ST010-202601,ST010,2026-01-01,15060.00
ST010-202602,ST010,2026-02-01,13940.00
ST010-202603,ST010,2026-03-01,19720.00
ST010-202604,ST010,2026-04-01,21900.00
ST010-202605,ST010,2026-05-01,26760.00
ST010-202606,ST010,2026-06-01,26490.00
ST010-202607,ST010,2026-07-01,26340.00
ST010-202608,ST010,2026-08-01,25130.00
ST010-202609,ST010,2026-09-01,21780.00
ST010-202610,ST010,2026-10-01,21690.00
ST010-202611,ST010,2026-11-01,25790.00
ST010-202612,ST010,2026-12-01,27430.00
ST011-202501,ST011,2025-01-01,28580.00
ST011-202502,ST011,2025-02-01,26650.00
ST011-202503,ST011,2025-03-01,40090.00
ST011-202504,ST011,2025-04-01,45490.00
ST011-202505,ST011,2025-05-01,54730.00
ST011-202506,ST011,2025-06-01,53880.00
ST011-202507,ST011,2025-07-01,52140.00
ST011-202508,ST011,2025-08-01,48490.00
ST011-202509,ST011,2025-09-01,42010.00
ST011-202510,ST011,2025-10-01,43530.00
ST011-202511,ST011,2025-11-01,49870.00
ST011-202512,ST011,2025-12-01,56600.00
ST011-202601,ST011,2026-01-01,28720.00
ST011-202602,ST011,2026-02-01,27660.00
ST011-202603,ST011,2026-03-01,39070.00
ST011-202604,ST011,2026-04-01,44890.00
ST011-202605,ST011,2026-05-01,54530.00
ST011-202606,ST011,2026-06-01,53740.00
ST011-202607,ST011,2026-07-01,50270.00
ST011-202608,ST011,2026-08-01,50080.00
ST011-202609,ST011,2026-09-01,42760.00
ST011-202610,ST011,2026-10-01,42670.00
ST011-202611,ST011,2026-11-01,49880.00
ST011-202612,ST011,2026-12-01,56740.00
ST012-202501,ST012,2025-01-01,14780.00
ST012-202502,ST012,2025-02-01,13460.00
ST012-202503,ST012,2025-03-01,19770.00
ST012-202504,ST012,2025-04-01,22310.00
ST012-202505,ST012,2025-05-01,26980.00
ST012-202506,ST012,2025-06-01,27430.00
ST012-202507,ST012,2025-07-01,26000.00
ST012-202508,ST012,2025-08-01,24260.00
ST012-202509,ST012,2025-09-01,21360.00
ST012-202510,ST012,2025-10-01,20920.00
ST012-202511,ST012,2025-11-01,25470.00
ST012-202512,ST012,2025-12-01,29090.00
ST012-202601,ST012,2026-01-01,14790.00
ST012-202602,ST012,2026-02-01,13500.00
ST012-202603,ST012,2026-03-01,19720.00
ST012-202604,ST012,2026-04-01,21770.00
ST012-202605,ST012,2026-05-01,26660.00
ST012-202606,ST012,2026-06-01,26490.00
ST012-202607,ST012,2026-07-01,26400.00
ST012-202608,ST012,2026-08-01,23990.00
ST012-202609,ST012,2026-09-01,21600.00
ST012-202610,ST012,2026-10-01,22010.00
ST012-202611,ST012,2026-11-01,24950.00
ST012-202612,ST012,2026-12-01,28350.00
ST013-202501,ST013,2025-01-01,17770.00
ST013-202502,ST013,2025-02-01,17130.00
ST013-202503,ST013,2025-03-01,23640.00
ST013-202504,ST013,2025-04-01,27870.00
ST013-202505,ST013,2025-05-01,32680.00
ST013-202506,ST013,2025-06-01,31840.00
ST013-202507,ST013,2025-07-01,30810.00
ST013-202508,ST013,2025-08-01,29890.00
ST013-202509,ST013,2025-09-01,26060.00
ST013-202510,ST013,2025-10-01,25170.00
ST013-202511,ST013,2025-11-01,31220.00
ST013-202512,ST013,2025-12-01,35240.00
ST013-202601,ST013,2026-01-01,17650.00
ST013-202602,ST013,2026-02-01,16760.00
ST013-202603,ST013,2026-03-01,24200.00
ST013-202604,ST013,2026-04-01,27810.00
ST013-202605,ST013,2026-05-01,32310.00
ST013-202606,ST013,2026-06-01,32930.00
ST013-202607,ST013,2026-07-01,31670.00
ST013-202608,ST013,2026-08-01,29560.00
ST013-202609,ST013,2026-09-01,26080.00
ST013-202610,ST013,2026-10-01,26600.00
ST013-202611,ST013,2026-11-01,30960.00
ST013-202612,ST013,2026-12-01,34760.00
ST014-202501,ST014,2025-01-01,14860.00
ST014-202502,ST014,2025-02-01,13510.00
ST014-202503,ST014,2025-03-01,19160.00
ST014-202504,ST014,2025-04-01,21660.00
ST014-202505,ST014,2025-05-01,26770.00
ST014-202506,ST014,2025-06-01,26260.00
ST014-202507,ST014,2025-07-01,25770.00
ST014-202508,ST014,2025-08-01,23710.00
ST014-202509,ST014,2025-09-01,21070.00
ST014-202510,ST014,2025-10-01,21360.00
ST014-202511,ST014,2025-11-01,25370.00
ST014-202512,ST014,2025-12-01,27820.00
ST014-202601,ST014,2026-01-01,15180.00
ST014-202602,ST014,2026-02-01,13470.00
ST014-202603,ST014,2026-03-01,19740.00
ST014-202604,ST014,2026-04-01,22320.00
ST014-202605,ST014,2026-05-01,27020.00
ST014-202606,ST014,2026-06-01,25600.00
ST014-202607,ST014,2026-07-01,25600.00
ST014-202608,ST014,2026-08-01,24210.00
ST014-202609,ST014,2026-09-01,21300.00
ST014-202610,ST014,2026-10-01,21130.00
ST014-202611,ST014,2026-11-01,25430.00
ST014-202612,ST014,2026-12-01,28410.00
ST015-202501,ST015,2025-01-01,18140.00
ST015-202502,ST015,2025-02-01,16480.00
ST015-202503,ST015,2025-03-01,24500.00
ST015-202504,ST015,2025-04-01,27530.00
ST015-202505,ST015,2025-05-01,33880.00
ST015-202506,ST015,2025-06-01,33010.00
ST015-202507,ST015,2025-07-01,31780.00
ST015-202508,ST015,2025-08-01,30940.00
ST015-202509,ST015,2025-09-01,26430.00
ST015-202510,ST015,2025-10-01,26030.00
ST015-202511,ST015,2025-11-01,31790.00
ST015-202512,ST015,2025-12-01,35990.00
ST015-202601,ST015,2026-01-01,18750.00
ST015-202602,ST015,2026-02-01,17130.00
ST015-202603,ST015,2026-03-01,24640.00
ST015-202604,ST015,2026-04-01,27290.00
ST015-202605,ST015,2026-05-01,34360.00
ST015-202606,ST015,2026-06-01,33190.00
ST015-202607,ST015,2026-07-01,31940.00
ST015-202608,ST015,2026-08-01,30000.00
ST015-202609,ST015,2026-09-01,25850.00
ST015-202610,ST015,2026-10-01,26260.00
ST015-202611,ST015,2026-11-01,30270.00
ST015-202612,ST015,2026-12-01,35290.00
ST016-202501,ST016,2025-01-01,14190.00
ST016-202502,ST016,2025-02-01,14090.00
ST016-202503,ST016,2025-03-01,19480.00
ST016-202504,ST016,2025-04-01,22570.00
ST016-202505,ST016,2025-05-01,26400.00
ST016-202506,ST016,2025-06-01,26260.00
ST016-202507,ST016,2025-07-01,25630.00
ST016-202508,ST016,2025-08-01,24510.00
ST016-202509,ST016,2025-09-01,21700.00
ST016-202510,ST016,2025-10-01,21580.00
ST016-202511,ST016,2025-11-01,25840.00
ST016-202512,ST016,2025-12-01,28960.00
ST016-202601,ST016,2026-01-01,15160.00
ST016-202602,ST016,2026-02-01,14030.00
ST016-202603,ST016,2026-03-01,19490.00
ST016-202604,ST016,2026-04-01,22220.00
ST016-202605,ST016,2026-05-01,26950.00
ST016-202606,ST016,2026-06-01,26840.00
ST016-202607,ST016,2026-07-01,25700.00
ST016-202608,ST016,2026-08-01,24270.00
ST016-202609,ST016,2026-09-01,21380.00
ST016-202610,ST016,2026-10-01,21990.00
ST016-202611,ST016,2026-11-01,24940.00
ST016-202612,ST016,2026-12-01,28800.00
ST017-202501,ST017,2025-01-01,14430.00
ST017-202502,ST017,2025-02-01,13870.00
ST017-202503,ST017,2025-03-01,20260.00
ST017-202504,ST017,2025-04-01,22730.00
ST017-202505,ST017,2025-05-01,27250.00
ST017-202506,ST017,2025-06-01,27390.00
ST017-202507,ST017,2025-07-01,26420.00
ST017-202508,ST017,2025-08-01,24630.00
ST017-202509,ST017,2025-09-01,21480.00
ST017-202510,ST017,2025-10-01,21100.00
ST017-202511,ST017,2025-11-01,25750.00
ST017-202512,ST017,2025-12-01,27590.00
ST017-202601,ST017,2026-01-01,15060.00
ST017-202602,ST017,2026-02-01,13870.00
ST017-202603,ST017,2026-03-01,18910.00
ST017-202604,ST017,2026-04-01,21800.00
ST017-202605,ST017,2026-05-01,27300.00
ST017-202606,ST017,2026-06-01,26060.00
ST017-202607,ST017,2026-07-01,25320.00
ST017-202608,ST017,2026-08-01,24310.00
ST017-202609,ST017,2026-09-01,21640.00
ST017-202610,ST017,2026-10-01,21010.00
ST017-202611,ST017,2026-11-01,25290.00
ST017-202612,ST017,2026-12-01,28510.00
ST018-202501,ST018,2025-01-01,17810.00
ST018-202502,ST018,2025-02-01,16820.00
ST018-202503,ST018,2025-03-01,24600.00
ST018-202504,ST018,2025-04-01,27840.00
ST018-202505,ST018,2025-05-01,32620.00
ST018-202506,ST018,2025-06-01,32360.00
ST018-202507,ST018,2025-07-01,32370.00
ST018-202508,ST018,2025-08-01,29630.00
ST018-202509,ST018,2025-09-01,25770.00
ST018-202510,ST018,2025-10-01,25660.00
ST018-202511,ST018,2025-11-01,30240.00
ST018-202512,ST018,2025-12-01,35390.00
ST018-202601,ST018,2026-01-01,18300.00
ST018-202602,ST018,2026-02-01,16930.00
ST018-202603,ST018,2026-03-01,24060.00
ST018-202604,ST018,2026-04-01,26660.00
ST018-202605,ST018,2026-05-01,33430.00
ST018-202606,ST018,2026-06-01,32470.00
ST018-202607,ST018,2026-07-01,32000.00
ST018-202608,ST018,2026-08-01,30690.00
ST018-202609,ST018,2026-09-01,26780.00
ST018-202610,ST018,2026-10-01,26430.00
ST018-202611,ST018,2026-11-01,31250.00
ST018-202612,ST018,2026-12-01,34760.00
ST900-202501,ST900,2025-01-01,58040.00
ST900-202502,ST900,2025-02-01,52080.00
ST900-202503,ST900,2025-03-01,73410.00
ST900-202504,ST900,2025-04-01,86810.00
ST900-202505,ST900,2025-05-01,100180.00
ST900-202506,ST900,2025-06-01,105270.00
ST900-202507,ST900,2025-07-01,101990.00
ST900-202508,ST900,2025-08-01,94210.00
ST900-202509,ST900,2025-09-01,81560.00
ST900-202510,ST900,2025-10-01,83720.00
ST900-202511,ST900,2025-11-01,96000.00
ST900-202512,ST900,2025-12-01,108140.00
ST900-202601,ST900,2026-01-01,58380.00
ST900-202602,ST900,2026-02-01,53870.00
ST900-202603,ST900,2026-03-01,74680.00
ST900-202604,ST900,2026-04-01,84970.00
ST900-202605,ST900,2026-05-01,104640.00
ST900-202606,ST900,2026-06-01,101510.00
ST900-202607,ST900,2026-07-01,102750.00
ST900-202608,ST900,2026-08-01,90530.00
ST900-202609,ST900,2026-09-01,85050.00
ST900-202610,ST900,2026-10-01,82130.00
ST900-202611,ST900,2026-11-01,98870.00
ST900-202612,ST900,2026-12-01,108780.00
